,title,rating,price,cpu_socket,form_factor,max_memory,memory_slots,color,max_memory_gb
2250,MSI B75MA-P45,4.0,,LGA1155,Micro ATX,32 GB,4,Black / Blue,32.0
2251,Asus GRYPHON Z87,4.5,,LGA1150,Micro ATX,32 GB,4,Brown / Black,32.0
2252,ASRock B85M Pro4,4.5,,LGA1150,Micro ATX,32 GB,4,Brown / Black,32.0
2253,MSI AM1I,4.0,,AM1,Mini ITX,32 GB,2,Black / Silver,32.0
2254,ASRock Z97 Pro4,4.5,,LGA1150,ATX,32 GB,4,Black / Blue,32.0
2255,ECS H81H3-TI2,,,LGA1150,Thin Mini ITX,8 GB,1,Black,8.0
2256,Gigabyte GA-Z97-D3H,4.0,,LGA1150,ATX,32 GB,4,Black / Gold,32.0
2257,Asus X99-E WS,5.0,,LGA2011-3,SSI CEB,128 GB,8,Black / Silver,128.0
2258,ASRock EP2C612D16SM-2T,,,2 x LGA2011-3 Narrow,SSI EEB,1024 GB,16,Green / Blue,1024.0
2259,Asus B150M-A D3,4.0,,LGA1151,Micro ATX,64 GB,4,Black / Gold,64.0
2260,ASRock H110M-HDS,4.0,,LGA1151,Micro ATX,32 GB,2,Black / Orange,32.0
2261,MSI X99A TOMAHAWK,,,LGA2011-3,ATX,128 GB,8,Black / Silver,128.0
2262,Gigabyte GA-B250M-D2V,,,LGA1151,Micro ATX,32 GB,2,Black / Silver,32.0
2263,Gigabyte GA-990X-Gaming SLI,4.0,,AM3+,ATX,64 GB,4,Black / Red,64.0
2264,ASRock A320M Pro4,4.0,,AM4,Micro ATX,64 GB,4,Black / White,64.0
2265,Asus ROG STRIX H270I GAMING,4.0,,LGA1151,Mini ITX,32 GB,2,Black / Silver,32.0
2266,MSI H370 GAMING PLUS,,,LGA1151,ATX,64 GB,4,Black / Red,64.0
2267,MSI B360M GAMING PLUS,,,LGA1151,Micro ATX,32 GB,2,Black / Red,32.0
2268,Asus Prime H310M-C R2.0/CSM,,,LGA1151,Micro ATX,32 GB,2,Green,32.0
2269,ASRock Z390 PHANTOM GAMING X,5.0,,LGA1151,ATX,128 GB,4,Black / Silver,128.0
2270,Asus ROG STRIX B365-G GAMING,5.0,,LGA1151,Micro ATX,64 GB,4,Black / Red,64.0
2271,Gigabyte B550M H,,,AM4,Micro ATX,64 GB,2,Black / Silver,64.0
2272,ASRock Z590 Phantom Gaming 4,5.0,,LGA1200,ATX,128 GB,4,Silver / Black,128.0
2273,Gigabyte Z690 AORUS PRO DDR4,,,LGA1700,ATX,128 GB,4,Black / Silver,128.0
