title,rating,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,module_count,gb_per_module,total_ram
Patriot Signature 8 GB,,38.09,DDR3-1333,1 x 8GB,4.761,Black,13.503 ns,9.0,1,8,8
Patriot Viper 3 32 GB,,,DDR3-2133,4 x 8GB,,Black / Red,10.314 ns,11.0,4,8,32
Patriot Viper 3 16 GB,,,DDR3-1866,4 x 4GB,,Black / Red,9.646 ns,9.0,4,4,16
Corsair Dominator Platinum 8 GB,,147.8,DDR3-2666,2 x 4GB,18.475,Black / Silver,8.252 ns,11.0,2,4,8
Corsair Dominator Platinum 16 GB,,,DDR3-2600,4 x 4GB,,,7.692 ns,10.0,4,4,16
Patriot Viper 3 8 GB,,,DDR3-1600,1 x 8GB,,Black / Silver,11.25 ns,9.0,1,8,8
Corsair Vengeance LP 16 GB,,,DDR3-1866,4 x 4GB,,Black / Blue,9.646 ns,9.0,4,4,16
Corsair Dominator Platinum 32 GB,5.0,,DDR3-2133,4 x 8GB,,Black / Silver,8.439 ns,9.0,4,8,32
Patriot Viper 3 16 GB,,,DDR3-1600,4 x 4GB,,Black / Green,11.25 ns,9.0,4,4,16
Corsair Dominator 16 GB,5.0,,DDR3-1866,2 x 8GB,,Black / Blue,9.646 ns,9.0,2,8,16
Corsair Vengeance 16 GB,5.0,,DDR3-1600,2 x 8GB,,Black / Gold,11.25 ns,9.0,2,8,16
Corsair Vengeance 64 GB,,,DDR3-1866,8 x 8GB,,Black / Yellow,9.646 ns,9.0,8,8,64
Corsair Vengeance 16 GB,4.5,,DDR3-1600,2 x 8GB,,,11.25 ns,9.0,2,8,16
Kingston Predator 16 GB,,,DDR3-1866,2 x 8GB,,Black / Blue,9.646 ns,9.0,2,8,16
Kingston Predator 32 GB,,,DDR3-1600,4 x 8GB,,Black / Blue,11.25 ns,9.0,4,8,32
Kingston Predator 8 GB,,,DDR3-2133,2 x 4GB,,Black / Blue,10.314 ns,11.0,2,4,8
G.Skill Ripjaws Z 32 GB,,,DDR3-1866,4 x 8GB,,Black / Blue,9.646 ns,9.0,4,8,32
Kingston Predator 16 GB,,,DDR3-1866,4 x 4GB,,Black / Blue,9.646 ns,9.0,4,4,16
Kingston Predator 8 GB,,,DDR3-1600,2 x 4GB,,Black / Blue,11.25 ns,9.0,2,4,8
G.Skill Trident X 8 GB,,,DDR3-2666,2 x 4GB,,,7.502 ns,10.0,2,4,8
Kingston Blu Red 4 GB,,,DDR3-1600,2 x 2GB,,Red / Silver,11.25 ns,9.0,2,2,4
G.Skill Trident X 16 GB,,,DDR3-2666,4 x 4GB,,,7.502 ns,10.0,4,4,16
Corsair XMS 8 GB,4.0,,DDR3-1600,1 x 8GB,,Black / White,13.75 ns,11.0,1,8,8
Kingston Blu 8 GB,,,DDR3-1333,1 x 8GB,,Blue / Silver,13.503 ns,9.0,1,8,8
Crucial Ballistix Sport 8 GB,4.5,,DDR3-1600,1 x 8GB,,Black / Silver,11.25 ns,9.0,1,8,8
Kingston Predator 8 GB,,,DDR3-2666,2 x 4GB,,Black / Blue,8.252 ns,11.0,2,4,8
Mushkin Blackline 8 GB,,,DDR3-2400,2 x 4GB,,Black,9.167 ns,11.0,2,4,8
Mushkin Blackline 16 GB,,,DDR3-2400,4 x 4GB,,Black,9.167 ns,11.0,4,4,16
Mushkin Blackline 8 GB,5.0,,DDR3-2400,2 x 4GB,,Black,9.167 ns,11.0,2,4,8
Mushkin Blackline 16 GB,,,DDR3-2400,4 x 4GB,,Black,9.167 ns,11.0,4,4,16
Kingston KVR16N11H/4 4 GB,5.0,21.99,DDR3-1600,1 x 4GB,5.497,Green,13.75 ns,11.0,1,4,4
Corsair Dominator Platinum 16 GB,,,DDR3-2800,4 x 4GB,,,7.857 ns,11.0,4,4,16
Crucial Ballistix Sport 4 GB,4.5,,DDR3-1600,1 x 4GB,,Black / Silver,11.25 ns,9.0,1,4,4
G.Skill NS 8 GB,4.5,,DDR3-1600,2 x 4GB,,Black,13.75 ns,11.0,2,4,8
Kingston HyperX Beast 8 GB,5.0,,DDR3-1866,2 x 4GB,,Black,9.646 ns,9.0,2,4,8
G.Skill Trident X 8 GB,4.5,,DDR3-2400,2 x 4GB,,Black / Red,7.5 ns,9.0,2,4,8
Corsair Dominator Platinum 16 GB,,,DDR3-2400,4 x 4GB,,Black / Silver,7.5 ns,9.0,4,4,16
Kingston HyperX Beast 16 GB,5.0,,DDR3-2400,4 x 4GB,,Black,9.167 ns,11.0,4,4,16
Kingston HyperX Beast 32 GB,,,DDR3-2133,4 x 8GB,,Black,10.314 ns,11.0,4,8,32
Crucial Ballistix Elite 8 GB,,,DDR3-2133,2 x 4GB,,,8.439 ns,9.0,2,4,8
Kingston KHX16C9K8/64X 64 GB,,,DDR3-1600,8 x 8GB,,Blue / Silver,11.25 ns,9.0,8,8,64
Kingston HyperX Beast 16 GB,,,DDR3-1866,2 x 8GB,,Black,10.718 ns,10.0,2,8,16
Kingston HyperX Beast 32 GB,,,DDR3-1866,4 x 8GB,,Black,10.718 ns,10.0,4,8,32
Kingston HyperX 16 GB,4.0,,DDR3-1866,2 x 8GB,,Gray / Silver,11.79 ns,11.0,2,8,16
Kingston HyperX Beast 16 GB,5.0,,DDR3-2133,2 x 8GB,,Black,10.314 ns,11.0,2,8,16
ADATA XPG Gaming Series v2.0 8 GB,,,DDR3-2400,2 x 4GB,,,8.333 ns,10.0,2,4,8
G.Skill Trident X 16 GB,,,DDR3-2800,4 x 4GB,,Black / Red,7.857 ns,11.0,4,4,16
ADATA XPG Gaming Series v2.0 16 GB,,,DDR3-2400,2 x 8GB,,Black / Green,9.167 ns,11.0,2,8,16
Kingston Black 8 GB,4.5,,DDR3-1600,2 x 4GB,,Black / Silver,11.25 ns,9.0,2,4,8
Kingston Black 2 GB,,,DDR3-1333,1 x 2GB,,Blue / Silver,13.503 ns,9.0,1,2,2
GeIL EVO Leggara 32 GB,,,DDR3-1600,4 x 8GB,,Black / Green,12.5 ns,10.0,4,8,32
Kingston Black 4 GB,,,DDR3-1333,1 x 4GB,,Black / Silver,13.503 ns,9.0,1,4,4
Kingston Black 4 GB,,,DDR3-1333,2 x 2GB,,Blue / Silver,13.503 ns,9.0,2,2,4
Kingston Black 2 GB,,,DDR3-1600,1 x 2GB,,Blue / Silver,11.25 ns,9.0,1,2,2
Kingston Black 4 GB,4.5,,DDR3-1600,1 x 4GB,,Black / Silver,11.25 ns,9.0,1,4,4
Kingston XMP Black 4 GB,,,DDR3-1600,2 x 2GB,,Black / Silver,11.25 ns,9.0,2,2,4
Kingston Black 4 GB,,,DDR3-1600,2 x 2GB,,Blue / Silver,11.25 ns,9.0,2,2,4
Kingston Black 8 GB,5.0,,DDR3-1333,2 x 4GB,,,13.503 ns,9.0,2,4,8
Kingston XMP 10th Anniversary 8 GB,,,DDR3-1866,2 x 4GB,,Gray / Silver,9.646 ns,9.0,2,4,8
Kingston HyperX 10th Anniversary 4 GB,,,DDR3-1866,1 x 4GB,,Gray / Silver,9.646 ns,9.0,1,4,4
Mushkin Redline 16 GB,,,DDR3-1600,2 x 8GB,,Red,10 ns,8.0,2,8,16
Mushkin Redline 32 GB,,,DDR3-1600,4 x 8GB,,Red,10 ns,8.0,4,8,32
Mushkin Redline 32 GB,,,DDR3-1600,4 x 8GB,,Red,10 ns,8.0,4,8,32
Mushkin Redline 16 GB,5.0,,DDR3-1866,2 x 8GB,,Red,9.646 ns,9.0,2,8,16
Mushkin Redline 16 GB,5.0,,DDR3-1866,2 x 8GB,,Red,9.646 ns,9.0,2,8,16
Mushkin Redline 16 GB,,,DDR3-1600,2 x 8GB,,Red,10 ns,8.0,2,8,16
Kingston XMP 10th Anniversary 16 GB,,,DDR3-2400,4 x 4GB,,Gray / Silver,9.167 ns,11.0,4,4,16
Kingston XMP 10th Anniversary 16 GB,,,DDR3-2133,4 x 4GB,,Gray / Silver,10.314 ns,11.0,4,4,16
Kingston XMP 10th Anniversary 16 GB,,,DDR3-1866,4 x 4GB,,Gray / Silver,9.646 ns,9.0,4,4,16
Kingston HyperX 16 GB,4.0,,DDR3-1600,2 x 8GB,,Green / Silver,11.25 ns,9.0,2,8,16
GeIL EVO VELOCE 16 GB,,,DDR3-2133,2 x 8GB,,Red / Silver,10.314 ns,11.0,2,8,16
G.Skill Trident X 8 GB,,,DDR3-2800,2 x 4GB,,Black / Red,7.857 ns,11.0,2,4,8
GeIL EVO Leggara 16 GB,,,DDR3-2400,2 x 8GB,,Black / Green,9.167 ns,11.0,2,8,16
Crucial Ballistix Sport 8 GB,4.0,69.89,DDR3-1333,1 x 8GB,8.736,Black / Silver,13.503 ns,9.0,1,8,8
AMD Performance Edition 8 GB,,,DDR3-1866,2 x 4GB,,Black / Red,10.718 ns,10.0,2,4,8
AMD Entertainment Edition 8 GB,4.0,,DDR3-1600,2 x 4GB,,,13.75 ns,11.0,2,4,8
Kingston LV XMP 10th Anniversary 16 GB,,,DDR3-1600,2 x 8GB,,Gray / Silver,12.5 ns,10.0,2,8,16
