,title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_gb
697,Seagate BarraCuda Pro,5.0,,8 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
698,TEAMGROUP A440 Lite,5.0,174.03,2 TB,0.087,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
699,Seagate ST1000LM035,4.0,44.00,1 TB,0.044,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,1000.0
700,Lexar NS100,,56.99,1 TB,0.057,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
701,Samsung 840 Pro,4.5,252.99,256 GB,0.988,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
702,Western Digital Caviar Green,4.0,,2 TB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,2000.0
703,Klevv CRAS C930,,79.98,1 TB,0.080,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
704,Western Digital Red Pro,,239.99,8 TB,0.030,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
705,Samsung 960 Pro,4.5,199.00,512 GB,0.389,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,512.0
706,Seagate FireCuda,4.5,,2 TB,,Hybrid,64 MB,"3.5""",SATA 6.0 Gb/s,2000.0
707,Crucial P5,4.5,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
708,Seagate BarraCuda,4.0,,500 GB,,7200 RPM,16 MB,"3.5""",SATA 6.0 Gb/s,500.0
709,Western Digital Ultrastar DC HC550,,409.99,18 TB,0.023,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,18000.0
710,ADATA Ultimate SU650,5.0,59.99,960 GB,0.062,SSD,,"2.5""",SATA 6.0 Gb/s,960.0
711,Acer Predator GM7,,350.06,4 TB,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
712,Corsair MP600 PRO LPX,,99.99,1 TB,0.100,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
713,Western Digital Green,4.0,54.99,240 GB,0.229,SSD,,M.2-2280,M.2 SATA,240.0
714,FanXiang S101,,56.99,1 TB,0.057,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
715,ADATA XPG GAMMIX S50 Core,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
716,Toshiba MQ04ABF100,,49.99,1 TB,0.050,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,1000.0
717,SanDisk SSD PLUS,,29.99,250 GB,0.120,SSD,,M.2-2280,M.2 PCIe 3.0 X4,250.0
718,TEAMGROUP EX2,,839.99,8 TB,0.105,SSD,,"2.5""",SATA 6.0 Gb/s,8000.0
719,Inland TN320,,39.99,512 GB,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
720,Orico J-10,4.5,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
721,Kingston FURY Renegade G5,,329.99,2.048 TB,0.161,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2048.0
722,Lexar NS100,4.0,25.98,256 GB,0.101,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
723,Samsung 860 Evo,4.5,216.13,1 TB,0.216,SSD,1024 MB,M.2-2280,M.2 SATA,1000.0
724,Western Digital Blue,4.5,106.99,2 TB,0.053,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,2000.0
725,Intel DC P4511,,159.00,1 TB,0.159,SSD,,M.2-22110,M.2 PCIe 3.0 X4,1000.0
726,Corsair MP600 ELITE w/Heatsink,,87.95,1 TB,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
727,Corsair MP700 PRO w/Heatsink,,554.99,4 TB,0.139,SSD,,M.2-2280,M.2 PCIe 5.0 X4,4000.0
728,TEAMGROUP T-Force GE PRO Graphene,,259.99,2 TB,0.130,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2000.0
729,Gigabyte Gen3 2500E,,66.48,500 GB,0.133,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0
730,Netac NV7000-t,,92.99,1 TB,0.093,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
731,Seagate IronWolf NAS,5.0,234.99,12 TB,0.020,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,12000.0
732,TEAMGROUP MP44,,706.99,8 TB,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4,8000.0
733,PNY CS1030,,32.51,250 GB,0.130,SSD,,M.2-2280,M.2 PCIe 3.0 X4,250.0
734,Western Digital Black,4.0,56.99,1 TB,0.057,7200 RPM,64 MB,"2.5""",SATA 6.0 Gb/s,1000.0
735,TEAMGROUP QX,,Out of stock$49.99,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
736,TEAMGROUP T-Force GC PRO,1.0,379.99,4 TB,0.095,SSD,,M.2-2280,M.2 PCIe 5.0 X4,4000.0
737,ADATA XPG GAMMIX S60 Blade,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
738,ADATA XPG SPECTRIX S40G RGB,4.5,Out of stock$159.99,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
739,TEAMGROUP T-Force Cardea Z540,,437.99,4 TB,0.109,SSD,,M.2-2280,M.2 PCIe 5.0 X4,4000.0
740,Seagate Exos 7E10 512e/4Kn,4.0,223.48,8 TB,0.028,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
741,Silicon Power A55,,43.16,128 GB,0.337,SSD,,"2.5""",SATA 6.0 Gb/s,128.0
742,Seagate NAS HDD,,,1 TB,,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,1000.0
743,Seagate ST500VT000,3.5,,500 GB,,5400 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,500.0
744,Addlink S91,,144.44,2 TB,0.072,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2000.0
745,Western Digital Ultrastar DC HC560,,449.99,22 TB,0.020,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,22000.0
746,Corsair MP600 GS,,72.88,1 TB,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
747,SanDisk SSD PLUS,4.5,63.44,120 GB,0.529,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
748,Inland TN320,,67.98,1 TB,0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
749,GOODRAM PX700,,128.50,1.024 TB,0.125,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1024.0
750,TEAMGROUP T-FORCE Z44A7,,,4 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
751,KIOXIA EXCERIA PRO,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
752,Western Digital Black SN750,4.5,229.50,2 TB,0.115,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
753,KingSpec P3,,,512 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
754,Seagate FireCuda,4.5,,8 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
755,FanXiang S101,,15.99,128 GB,0.125,SSD,,"2.5""",SATA 6.0 Gb/s,128.0
756,Toshiba P300,4.0,,2 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,2000.0
757,Seagate BarraCuda,4.0,62.00,1 TB,0.062,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,1000.0
758,Silicon Power UD90,5.0,,500 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
759,Kingston SSDNow UV400,4.5,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,240.0
760,Addlink G55,,97.44,1 TB,0.097,SSD,,M.2-2280,M.2 PCIe 5.0 X4,1000.0
761,Crucial T500 W/Heatsink,,309.99,4 TB,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
762,Seagate Momentus Thin,2.5,23.99,500 GB,0.048,5400 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,500.0
763,Silicon Power XS70,5.0,182.81,2 TB,0.091,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
764,Seagate Constellation ES.3,5.0,49.00,1 TB,0.049,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,1000.0
765,TEAMGROUP MS30,4.0,24.99,256 GB,0.098,SSD,,M.2-2280,M.2 SATA,256.0
766,Seagate IronWolf NAS,5.0,152.79,2 TB,0.076,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,2000.0
767,Corsair MP600 PRO LPX,5.0,329.99,4 TB,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
768,Sabrent Rocket 4.0,4.5,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
769,Western Digital Gold,5.0,319.99,18 TB,0.018,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,18000.0
770,Patriot P220,,31.99,512 GB,0.062,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
771,Patriot P320,,34.99,512 GB,0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
772,Western Digital Blue SN570,4.5,399.00,2 TB,0.199,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
773,Samsung 840 Pro,4.5,,128 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,128.0
774,Crucial P510,,119.99,1 TB,0.120,SSD,,M.2-2280,M.2 PCIe 5.0 X4,1000.0
775,Western Digital Purple,,92.99,4 TB,0.023,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,4000.0
776,ADATA SU800,4.5,106.00,1 TB,0.106,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
777,Toshiba DT01ACA050,4.5,34.50,500 GB,0.069,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,500.0
778,Corsair MP600 Force Series Gen4,4.5,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
779,Seagate SkyHawk AI,,349.99,20 TB,0.017,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,20000.0
780,Crucial P2,4.5,199.99,2 TB,0.100,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
781,Orico O7000,,69.98,1 TB,0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
782,Western Digital Red,4.5,375.00,12 TB,0.031,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,12000.0
783,Crucial MX300,4.5,179.99,525 GB,0.343,SSD,,"2.5""",SATA 6.0 Gb/s,525.0
784,MSI SPATIUM M580 FROZR,,329.99,2 TB,0.165,SSD,4096 MB,M.2-2280,M.2 PCIe 5.0 X4,2000.0
785,Western Digital Gold,,349.99,16 TB,0.022,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,16000.0
786,TEAMGROUP T-FORCE G70 PRO Graphene,,279.99,4 TB,0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
787,Gigabyte GP-GSTFS31240GNTD,4.5,26.12,240 GB,0.109,SSD,,"2.5""",SATA 6.0 Gb/s,240.0
788,TEAMGROUP MP34,4.5,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
789,HP EX920,4.5,60.99,512 GB,0.119,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,512.0
790,Inland Professional,4.5,19.98,120 GB,0.166,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
791,Corsair MP600 PRO NH,5.0,364.99,4 TB,0.091,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
792,SanDisk Ultra 3D,4.5,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
793,Western Digital Red Pro,,319.99,14 TB,0.023,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,14000.0
794,KingSpec P3,,,2 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,2000.0
795,Samsung 950 PRO,4.5,,512 GB,,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,512.0
796,MSI SPATIUM M390,4.0,,500 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0
797,Gigabyte AORUS Gen4,4.5,149.00,1 TB,0.149,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
798,Seagate Exos X24,,Out of stock$509.99,24 TB,,7200 RPM,512 MB,"3.5""",SAS 12.0 Gb/s,24000.0
799,ADATA SU800,4.5,53.99,256 GB,0.211,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
800,Patriot P220,,97.99,2 TB,0.049,SSD,,"2.5""",SATA 6.0 Gb/s,2000.0
801,Mushkin Helix-L,,100.98,2 TB,0.050,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
802,TEAMGROUP T-Force Cardea Z540,5.0,139.99,1 TB,0.140,SSD,,M.2-2280,M.2 PCIe 5.0 X4,1000.0
803,Seagate FireCuda 530,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
804,MSI SPATIUM M470,4.5,149.99,1 TB,0.150,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
805,ADATA LEGEND 850 LITE,,72.98,1 TB,0.073,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
806,ADATA XPG SX8200 Pro,4.5,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0
807,ADATA Ultimate SU650,3.0,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
808,Patriot Viper VP4300,5.0,64.99,1 TB,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
809,FanXiang S500 Pro,,25.99,256 GB,0.102,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0
810,Hitachi Travelstar Z7K500,4.0,,500 GB,,7200 RPM,32 MB,"2.5""",SATA 6.0 Gb/s,500.0
811,Sabrent Rocket,4.5,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
812,Kingston SSDNow KC400,5.0,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
813,Lexar NM1090 w/ Heatsink,,259.49,2 TB,0.130,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2000.0
814,PNY CS2241,,38.99,500 GB,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
815,Western Digital Red Pro,,297.00,12 TB,0.025,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,12000.0
816,Addlink S70,,34.99,512 GB,0.068,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
817,Seagate FireCuda 530R w/Heatsink,5.0,179.99,2 TB,0.090,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
818,Corsair MP600 PRO NH,,99.99,1 TB,0.100,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
819,TEAMGROUP T-Force Z44A7Q,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
820,Corsair MP600 PRO XT,5.0,369.99,4 TB,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
821,MSI SPATIUM M390,,79.95,1 TB,0.080,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
822,Seagate Surveillance HDD,4.0,,2 TB,,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,2000.0
823,Lexar NM790 w/Heatsink,5.0,89.95,1 TB,0.090,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
824,Seagate BarraCuda Pro,,377.45,14 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,14000.0
825,Addlink S70,5.0,59.44,1 TB,0.059,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
826,Toshiba N300,,,4 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,4000.0
827,Seagate EXOS Enterprise,4.5,228.97,8 TB,0.029,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
828,Intel P3700,,1850.00,1.6 TB,1.156,SSD,,PCIe,PCIe x4,1600.0
829,Inland Platinum,,,4 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,4000.0
830,KingSpec NE-2280,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
831,Western Digital RE4,4.0,65.00,1 TB,0.065,7200 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,1000.0
832,Corsair MP600 GS,,69.98,500 GB,0.140,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
833,Corsair MP600 PRO XT,5.0,104.99,1 TB,0.105,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
834,Seagate Constellation ES.2,4.0,49.00,3 TB,0.016,7200 RPM,64 MB,"3.5""",SAS 6.0 Gb/s,3000.0
835,Leven JS600,,179.99,4 TB,0.045,SSD,,"2.5""",SATA 6.0 Gb/s,4000.0
836,Integral M2,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
837,Seagate ST1000DX001,4.5,80.00,1 TB,0.080,Hybrid,64 MB,"3.5""",SATA 6.0 Gb/s,1000.0
838,Toshiba MQ01ABD-V,,35.50,1 TB,0.035,5400 RPM,,"2.5""",SATA 6.0 Gb/s,1000.0
839,Western Digital Red SA500,,109.99,1 TB,0.110,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
840,Seagate Barracuda Compute,4.0,65.68,1 TB,0.066,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,1000.0
841,HP FX700,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
842,Toshiba MG09 512e,,325.00,18 TB,0.018,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,18000.0
843,Western Digital Blue Mobile,3.5,74.99,2 TB,0.037,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,2000.0
844,Western Digital Red SN700,4.0,351.52,4 TB,0.088,SSD,,M.2-2280,M.2 PCIe 3.0 X4,4000.0
845,Seagate IronWolf NAS,4.5,165.00,4 TB,0.041,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,4000.0
846,Intenso Top Performance,4.0,32.72,256 GB,0.128,SSD,,M.2-2280,M.2 SATA,256.0
847,Seagate IronWolf Pro,5.0,299.00,8 TB,0.037,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
848,ADATA XPG SX8200 Pro,4.5,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
849,Seagate IronWolf Pro,3.0,,20 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,20000.0
850,Samsung PM961,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
851,Lenovo S4520,,,3.84 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,3840.0
852,Lexar NQ100,,57.99,960 GB,0.060,SSD,,"2.5""",SATA 6.0 Gb/s,960.0
853,Western Digital Red SN700,5.0,112.54,1 TB,0.113,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
854,Lexar NS100,4.0,102.99,2 TB,0.051,SSD,,"2.5""",SATA 6.0 Gb/s,2000.0
855,Seagate IronWolf Pro,4.0,234.45,6 TB,0.039,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,6000.0
856,Western Digital Gold,5.0,266.00,10 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,10000.0
857,Western Digital WD_BLACK,4.5,249.00,6 TB,0.042,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,6000.0
858,ADATA Legend 800,5.0,,500 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
859,Western Digital Blue,5.0,84.99,4 TB,0.021,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,4000.0
860,Gigabyte 4000E,,,500 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
861,Patriot Burst Elite,,51.99,960 GB,0.054,SSD,,"2.5""",SATA 6.0 Gb/s,960.0
862,Hitachi Ultrastar SN260,,323.00,1.6 TB,0.202,SSD,,PCIe,PCIe x8,1600.0
863,Western Digital Blue,4.5,64.99,2 TB,0.032,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,2000.0
864,Lexar NQ710,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
865,SK Hynix Gold S31 500,4.5,,500 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,500.0
866,Western Digital Green SN350,2.5,,240 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,240.0
867,TEAMGROUP T-Force Vulcan Z,4.0,Out of stock$185.99,4 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,4000.0
868,TEAMGROUP CX2,,21.99,256 GB,0.086,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
869,Kingston KC600,,183.79,2.048 TB,0.090,SSD,,"2.5""",SATA 6.0 Gb/s,2048.0
870,Western Digital Red Plus,5.0,147.00,4 TB,0.037,5400 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,4000.0
871,Kingston Q500,4.0,68.98,960 GB,0.072,SSD,,"2.5""",SATA 6.0 Gb/s,960.0
872,Seagate FireCuda,5.0,,4 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,4000.0
873,Western Digital Caviar Black,4.5,,1 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,1000.0
874,Klevv CRAS C710,,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
875,TEAMGROUP T-Force GE PRO AirFlow,,399.99,4 TB,0.100,SSD,,M.2-2280,M.2 PCIe 5.0 X4,4000.0
876,Seagate ST3000VM002,5.0,,3 TB,,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,3000.0
877,Samsung 850 Pro,4.5,209.99,1 TB,0.210,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
878,Toshiba P300,4.5,198.98,3 TB,0.066,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,3000.0
879,Seagate IronWolf NAS,5.0,249.99,14 TB,0.018,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,14000.0
880,TEAMGROUP Cardea A440,4.5,79.98,1 TB,0.080,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
881,Orico J-10,,99.99,2 TB,0.050,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
882,Inland Platinum,5.0,109.99,2 TB,0.055,SSD,,"2.5""",SATA 6.0 Gb/s,2000.0
883,Seagate EE25.2,,22.00,40 GB,0.550,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,40.0
884,Western Digital Blue SN570,4.5,39.99,250 GB,0.160,SSD,,M.2-2280,M.2 PCIe 3.0 X4,250.0
885,Verbatim Vi550,,17.98,128 GB,0.140,SSD,,"2.5""",SATA 6.0 Gb/s,128.0
886,Western Digital Blue,5.0,89.99,1 TB,0.090,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
887,Western Digital Blue,4.5,34.99,500 GB,0.070,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,500.0
888,SK Hynix Gold S31 1000,4.5,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
889,Western Digital Red Plus,,89.99,3 TB,0.030,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,3000.0
890,Lexar NM790 w/Heatsink,,129.49,2 TB,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
891,Klevv CRAS C715,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
892,Seagate Barracuda Compute,4.0,89.99,3 TB,0.030,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,3000.0
893,Seagate IronWolf Pro NAS,,298.99,14 TB,0.021,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,14000.0
894,Orico Y-20,,52.24,1 TB,0.052,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
895,Seagate EXOS Enterprise,4.5,,16 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,16000.0
896,HP EX900,4.0,42.99,500 GB,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4,500.0
897,PNY CS1031,,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0
898,Samsung 960 Pro,5.0,399.99,1 TB,0.400,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,1000.0
899,Samsung 860 Evo,4.5,106.17,250 GB,0.425,SSD,512 MB,M.2-2280,M.2 SATA,250.0
900,Western Digital Red Plus,5.0,260.00,8 TB,0.033,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
901,PNY CS2140,5.0,124.44,1 TB,0.124,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
902,Western Digital Black PCIe,4.5,302.12,256 GB,1.180,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0
903,Lexar Professional NM800PRO w/Heatsink,4.0,84.99,1 TB,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
904,Gigabyte AORUS Gen4 5000E,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
905,Seagate FireCuda 520,5.0,359.24,2 TB,0.180,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
906,ADATA XPG GAMMIX S70 Blade,,76.68,512 GB,0.150,SSD,,M.2-2280,M.2 PCIe 4.0 X4,512.0
907,Patriot P220,,54.99,1 TB,0.055,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
908,ADATA XPG SX6000 Pro,5.0,54.99,512 GB,0.107,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
909,Gigabyte GP-GSTFS31100TNTD,,84.24,1 TB,0.084,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
910,Western Digital Caviar Green,4.0,,500 GB,,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,500.0
911,Western Digital Red,4.5,119.99,3 TB,0.040,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,3000.0
912,Intel DC S3610,,332.00,1.6 TB,0.207,SSD,,"2.5""",SATA 6.0 Gb/s,1600.0
913,Intel Optane P1600X,5.0,,118 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,118.0
914,Lexar NM610PRO,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
915,Western Digital Blue Mobile,4.5,49.63,1 TB,0.050,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,1000.0
916,Seagate IronWolf Pro NAS,,269.99,10 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,10000.0
917,Micron 7400 PRO,,Out of stock$749.99,3.84 TB,,SSD,,M.2-22110,M.2 PCIe 4.0 X4,3840.0
918,Sabrent Rocket Q,4.5,415.26,2 TB,0.208,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
919,Lexar NS100,,20.98,128 GB,0.164,SSD,,"2.5""",SATA 6.0 Gb/s,128.0
920,Western Digital PC SN730,,149.99,1 TB,0.150,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
921,Corsair MP600 PRO LPX,,369.99,4 TB,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
922,ADATA Ultimate SU650,,39.88,480 GB,0.083,SSD,,"2.5""",SATA 6.0 Gb/s,480.0
923,Seagate IronWolf Pro,,,18 TB,,7200 RPM,,"3.5""",SATA 6.0 Gb/s,18000.0
