,title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_gb
40,Samsung 980 Pro,4.5,,1 TB,,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1000.0
41,Kingston Fury Renegade,4.5,144.99,2 TB,0.072,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
42,Samsung 990 EVO,4.5,129.99,2 TB,0.065,SSD,,M.2-2280,M.2 PCIe 5.0 X2,2000.0
43,TEAMGROUP MP44L,4.5,107.99,2 TB,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
44,SK Hynix Platinum P41,4.5,134.99,2 TB,0.067,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
45,Seagate Barracuda Compute,4.5,109.99,8 TB,0.014,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
46,KingSpec XF,,53.99,1 TB,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
47,Kingston KC3000,4.5,153.94,2.048 TB,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2048.0
48,Samsung 990 EVO,5.0,69.98,1 TB,0.070,SSD,,M.2-2280,M.2 PCIe 5.0 X2,1000.0
49,Samsung 870 QVO,4.5,629.99,8 TB,0.079,SSD,,"2.5""",SATA 6.0 Gb/s,8000.0
50,Samsung 870 Evo,4.5,52.99,500 GB,0.106,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,500.0
51,Corsair MP400,5.0,,8 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,8000.0
52,Crucial T705,,389.99,4 TB,0.097,SSD,,M.2-2280,M.2 PCIe 5.0 X4,4000.0
53,Acer Predator GM7000,4.5,125.99,2 TB,0.063,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2000.0
54,Lexar NM790,5.0,129.99,2 TB,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
55,Samsung 970 Evo Plus,4.5,,500 GB,,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,500.0
56,Silicon Power A60,4.5,55.97,1 TB,0.056,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
57,Crucial T705,5.0,229.99,2 TB,0.115,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2000.0
58,Samsung 980,4.5,106.30,1 TB,0.106,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
59,Samsung 9100 PRO,5.0,169.99,1 TB,0.170,SSD,1024 MB,M.2-2280,M.2 PCIe 5.0 X4,1000.0
60,TEAMGROUP MP33,4.5,36.99,512 GB,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
61,Crucial T500,4.5,148.94,2 TB,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
62,Samsung 970 Evo Plus,4.5,188.03,2 TB,0.094,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4,2000.0
63,Seagate BarraCuda,4.5,59.50,1 TB,0.060,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,1000.0
64,Kingston A400,4.5,24.99,240 GB,0.104,SSD,,"2.5""",SATA 6.0 Gb/s,240.0
65,Silicon Power UD90,4.5,61.97,1 TB,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
66,Western Digital Gold,,499.99,24 TB,0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,24000.0
67,Klevv CRAS C910,5.0,105.99,2 TB,0.053,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
