title,rating,price,cpu_socket,form_factor,max_memory,memory_slots,color,max_memory_gb
Asus X99-DELUXE,4.5,,LGA2011-3,ATX,64 GB,8,Black / White,64.0
Gigabyte GA-Z170-HD3P,4.0,,LGA1151,ATX,64 GB,4,Black,64.0
Asus H110I-PLUS,5.0,,LGA1151,Mini ITX,32 GB,2,Black / Gold,32.0
Gigabyte X299X AORUS MASTER,,,LGA2066,EATX,256 GB,8,Black / Orange,256.0
ASRock X570 Taichi Razer Edition,5.0,,AM4,ATX,128 GB,4,Black / Silver,128.0
Gigabyte Z490 AORUS MASTER,5.0,501.9,LGA1200,ATX,128 GB,4,Black / Silver,128.0
Gigabyte GA-H97M-D3H,4.5,,LGA1150,Micro ATX,32 GB,4,Black / Gold,32.0
MSI H110M PRO-D,4.0,,LGA1151,Micro ATX,32 GB,2,Black / Silver,32.0
Asus B150M-A/M.2,4.0,,LGA1151,Micro ATX,64 GB,4,Black / Gold,64.0
MSI B450M PRO-M2,3.5,,AM4,Micro ATX,32 GB,2,Brown / Black,32.0
Asus ROG MAXIMUS XI HERO,5.0,,LGA1151,ATX,128 GB,4,Black / Silver,128.0
Gigabyte X570S GAMING X,,,AM4,ATX,128 GB,4,Black / Silver,128.0
Asus PRIME H610M-A,,,LGA1700,Micro ATX,96 GB,2,Silver / Black,96.0
Asus PRIME A320M-F,,,AM4,Micro ATX,64 GB,2,Black / Silver,64.0
Asus Z890 MAX GAMING WIFI7,,,LGA1851,ATX,256 GB,4,Silver / Black,256.0
ASRock B860 Lightning WiFi,,209.99,LGA1851,ATX,256 GB,4,Black,256.0
Asus PRIME H570-PLUS,3.0,,LGA1200,ATX,128 GB,4,Silver / Black,128.0
MSI PRO H610M-B DDR4,3.5,,LGA1700,Micro ATX,64 GB,2,Black / Silver,64.0
ASRock H610M-ITX/ac,5.0,,LGA1700,Mini ITX,64 GB,2,Silver / Black,64.0
Gigabyte GA-990FXA-UD3,4.5,,AM3+,ATX,32 GB,4,Black / Silver,32.0
Gigabyte B550 VISION D,4.0,,AM4,ATX,128 GB,4,White / Black,128.0
Asus TUF GAMING B550M-ZAKU (WI-FI),5.0,,AM4,Micro ATX,128 GB,4,Black / Red,128.0
Gigabyte B840M EAGLE WIFI6,,,AM5,Micro ATX,128 GB,2,Silver / Black,128.0
Asus A620M-AYW WIFI,,,AM5,Micro ATX,96 GB,2,Silver / Black,96.0
ASRock Fatal1ty X470 Gaming K4,4.0,,AM4,ATX,64 GB,4,Black / Silver,64.0
Asus TUF GAMING H470-PRO (WI-FI),,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
Gigabyte GA-H61M-S2PV(R2.0),4.0,,LGA1155,Micro ATX,16 GB,2,Blue / White,16.0
Asus M5A97 LE R2.0,4.0,,AM3+,ATX,32 GB,4,Black / Blue,32.0
ECS KAM1-I(1.0),,,AM1,Mini ITX,16 GB,2,Black / Gray,16.0
Asus 970 PRO GAMING/AURA,4.5,,AM3+,ATX,32 GB,4,Black / Red,32.0
MSI Z170A GAMING PRO CARBON,4.5,,LGA1151,ATX,64 GB,4,Black / Silver,64.0
Asus PRIME B250M-C-CSM,,,LGA1151,Micro ATX,64 GB,4,Green / Black,64.0
Gigabyte GA-AX370-Gaming K7,4.0,,AM4,ATX,64 GB,4,Black,64.0
Gigabyte B550 AORUS PRO,4.0,,AM4,ATX,128 GB,4,Black / Orange,128.0
MSI A520M PRO-VH,,,AM4,Micro ATX,64 GB,2,Black,64.0
ASRock Z890 Pro RS,,214.99,LGA1851,ATX,256 GB,4,Silver / Black,256.0
Gigabyte B360M H,,,LGA1151,Micro ATX,32 GB,2,Silver / Red,32.0
Gigabyte B360M HD3,4.0,,LGA1151,Micro ATX,32 GB,2,Silver / Black,32.0
Gigabyte Z590M GAMING X,,,LGA1200,Micro ATX,128 GB,4,Black / Silver,128.0
Gigabyte Z790 D AC,,,LGA1700,ATX,192 GB,4,Gray / Black,192.0
Asus ROG MAXIMUS Z690 APEX,4.0,873.61,LGA1700,ATX,96 GB,2,Black / Silver,96.0
MSI H410M-A PRO,4.0,,LGA1200,Micro ATX,64 GB,2,Black / Silver,64.0
Asus ROG STRIX Z590-F GAMING WIFI,,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
Asus M4A785-M,,142.7,AM3/AM2+/AM2,Micro ATX,16 GB,4,Black / Blue,16.0
MSI Z270 GAMING M7,4.5,,LGA1151,ATX,64 GB,4,Black / Silver,64.0
Asus TUF X299 MARK 2,4.0,,LGA2066,ATX,128 GB,8,Black,128.0
Asus TUF GAMING Z490-PLUS,4.5,,LGA1200,ATX,128 GB,4,Black,128.0
MSI MAG B460 TOMAHAWK,4.5,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
Asus PRIME Z590M-PLUS,5.0,,LGA1200,Micro ATX,128 GB,4,Silver / Black,128.0
MSI PRO B760M-B,,,LGA1700,Micro ATX,96 GB,2,Black,96.0
Asus PRIME X670E-PRO WIFI-CSM,5.0,,AM5,ATX,192 GB,4,Silver / Black,192.0
Gigabyte B860M EAGLE WIFI6,,,LGA1851,Micro ATX,128 GB,2,Silver / Black,128.0
Intel DG43GT,1.0,,LGA775,Micro ATX,8 GB,4,Green / Blue,8.0
Asus H110M-C/CSM,4.0,,LGA1151,Micro ATX,32 GB,2,Black / Gold,32.0
Gigabyte GA-78LMT-USB3 R2,3.5,,AM3+,Micro ATX,32 GB,4,Black,32.0
ASRock B760 Pro RS/D4 WiFi White,,,LGA1700,ATX,128 GB,4,White,128.0
ASRock B860 LiveMixer WiFi,,189.99,LGA1851,ATX,256 GB,4,Silver / Black,256.0
ASRock H470M-HDV/M.2,5.0,,LGA1200,Micro ATX,64 GB,2,Black / Silver,64.0
Asus M5A78L-M/USB3,3.5,281.98,AM3+,Micro ATX,32 GB,4,Black / Blue,32.0
Asus TUF GAMING H670-PRO WIFI D4,4.5,197.05,LGA1700,ATX,128 GB,4,Gray / Black,128.0
Asus A55M-E,4.0,149.99,FM2,Micro ATX,32 GB,2,Black / Blue,32.0
Asus ROG STRIX B360-H GAMING,,468.88,LGA1151,ATX,64 GB,4,Red / Black,64.0
Gigabyte X670 GAMING X AX (rev. 1.0),,,AM5,ATX,192 GB,4,Black,192.0
Asus ROG MAXIMUS Z790 APEX,5.0,,LGA1700,ATX,96 GB,2,Silver / Black,96.0
Gigabyte GA-H170-GAMING 3,3.5,,LGA1151,ATX,64 GB,4,Black / Red,64.0
Asus Z87-A,4.5,,LGA1150,ATX,32 GB,4,Black / Gold,32.0
Gigabyte GA-H81M-DS2,4.5,,LGA1150,Micro ATX,16 GB,2,Black,16.0
Supermicro X10SRA,,,LGA2011-3,ATX,512 GB,8,Black / Blue,512.0
Asus PRIME B360M-K,,,LGA1151,Micro ATX,32 GB,2,Black / Silver,32.0
ASRock Z390M-ITX/ac,5.0,,LGA1151,Mini ITX,64 GB,2,Black / Silver,64.0
Asus PRIME Z490-V,,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
MSI MAG X570S TORPEDO MAX,5.0,,AM4,ATX,128 GB,4,Blue / Black,128.0
Gigabyte Z490 GAMING X AX,,,LGA1200,ATX,128 GB,4,Brown / Black,128.0
Asus ProArt B760-CREATOR,,,LGA1700,ATX,192 GB,4,Black / Copper,192.0
MSI MPG Z590 GAMING FORCE,4.0,406.99,LGA1200,ATX,128 GB,4,Black,128.0
ASRock B660M Steel Legend,3.5,,LGA1700,Micro ATX,128 GB,4,Silver / Black,128.0
MSI Big Bang - XPower II,4.5,,LGA2011,XL ATX,128 GB,8,Black,128.0
Asus Z10PA-D8,,,2 x LGA2011-3,ATX,512 GB,8,Blue / White,512.0
Asus ROG ZENITH EXTREME,4.5,,sTR4,EATX,128 GB,8,Black / Silver,128.0
MSI B360 GAMING ARCTIC,5.0,,LGA1151,ATX,64 GB,4,White,64.0
Asus WS Z390 PRO,,,LGA1151,ATX,128 GB,4,Black / Silver,128.0
Asus H110-PLUS,4.0,,LGA1151,ATX,32 GB,2,Black / Gold,32.0
ASRock Z270 Extreme4,4.5,,LGA1151,ATX,64 GB,4,Black / White,64.0
Gigabyte GA-AB350M-DS3H V2,,,AM4,Micro ATX,64 GB,4,Black,64.0
MSI PRO B650M-E,,,AM5,Micro ATX,96 GB,2,Black,96.0
ASRock H670 Steel Legend,4.0,,LGA1700,ATX,128 GB,4,Silver / Gray,128.0
Supermicro MBD-X11SSM-F-O,,269.99,LGA1151,Micro ATX,64 GB,4,Green,64.0
Gigabyte Z690 AERO G,4.5,,LGA1700,ATX,128 GB,4,Black / Silver,128.0
Gigabyte Z690M DS3H DDR4,,,LGA1700,Micro ATX,128 GB,4,Brown / Gray,128.0
Gigabyte GA-Z97X-GAMING 7,4.5,,LGA1150,ATX,32 GB,4,Black / Red,32.0
MSI MAG B760M MORTAR WIFI,4.5,,LGA1700,Micro ATX,192 GB,4,Black / Silver,192.0
Biostar A520MT,,,AM4,Micro ATX,64 GB,2,Black,64.0
MSI MEG Z490 ACE,5.0,489.0,LGA1200,ATX,128 GB,4,Black / Gold,128.0
MSI X299 PRO,,,LGA2066,ATX,256 GB,8,Black,256.0
Asus MAXIMUS VIII EXTREME,5.0,,LGA1151,EATX,64 GB,4,Black / Red,64.0
MSI Z270 GAMING M5,4.5,475.0,LGA1151,ATX,64 GB,4,Black / Silver,64.0
ASRock A320M-ITX,3.5,,AM4,Mini ITX,32 GB,2,Black / Silver,32.0
Intel DB75EN,5.0,,LGA1155,Micro ATX,32 GB,4,Green / Blue,32.0
Asus Crosshair V Formula-Z,4.5,,AM3+,ATX,32 GB,4,Black / Red,32.0
Gigabyte GA-Z97X-SLI,4.5,,LGA1150,ATX,32 GB,4,Black / Red,32.0
Asus H170 PRO GAMING,4.5,,LGA1151,ATX,64 GB,4,Black / Red,64.0
Asus PRIME B560M-K,,,LGA1200,Micro ATX,64 GB,2,Silver / Black,64.0
MSI MAG B660M BAZOOKA DDR4,,,LGA1700,Micro ATX,128 GB,4,Green / Black,128.0
Biostar B550T-SILVER,,,AM4,Mini ITX,64 GB,2,Black / Silver,64.0
MSI PRO B650M-A,,,AM5,Micro ATX,192 GB,4,Black / Silver,192.0
Asus ROG STRIX B660-G GAMING WIFI,,,LGA1700,Micro ATX,128 GB,4,Black,128.0
Asus AM1M-A,3.5,199.99,AM1,Micro ATX,32 GB,2,Black / Gold,32.0
Gigabyte H610M K V2,,,LGA1700,Micro ATX,96 GB,2,Brown / Black,96.0
ASRock B760M Pro-A D4 WiFi,,,LGA1700,Micro ATX,128 GB,4,White / Black,128.0
Gigabyte GA-EP45-UD3R,4.0,,LGA775,ATX,16 GB,4,Multicolor,16.0
Asus STRIX H270F GAMING,4.5,,LGA1151,ATX,64 GB,4,Black / Silver,64.0
MSI B250 PC MATE,4.5,,LGA1151,ATX,64 GB,4,Black / White,64.0
MSI B450M PRO-VDH PLUS,4.0,,AM4,Micro ATX,128 GB,4,Black,128.0
Gigabyte Z490 AORUS PRO AX,4.0,530.0,LGA1200,ATX,128 GB,4,Black / Silver,128.0
Asus ROG STRIX B460-F GAMING,5.0,,LGA1200,ATX,128 GB,4,Black / Silver,128.0
ASRock Z890 Riptide WiFi,,299.99,LGA1851,ATX,256 GB,4,Black,256.0
Gigabyte H370M D3H,3.0,,LGA1151,Micro ATX,64 GB,4,Silver / Black,64.0
Gigabyte Z370N WIFI,4.0,,LGA1151,Mini ITX,32 GB,2,Black / White,32.0
MSI MAG B660M MORTAR WIFI,4.0,,LGA1700,Micro ATX,192 GB,4,Silver / Black,192.0
MSI MEG Z690 UNIFY-X,5.0,778.88,LGA1700,ATX,96 GB,2,Black / Silver,96.0
Gigabyte B860 DS3H,,305.51,LGA1851,ATX,256 GB,4,Silver / Black,256.0
Asus ROG MAXIMUS XII EXTREME,5.0,1165.78,LGA1200,EATX,128 GB,4,Black,128.0
Gigabyte H410M H,,,LGA1200,Micro ATX,64 GB,2,Black / Silver,64.0
Asus TUF GAMING B660M-PLUS D4,,,LGA1700,Micro ATX,128 GB,4,Orange / Black,128.0
Asus Prime A320I-K,4.5,,AM4,Mini ITX,32 GB,2,Black,32.0
Intel DH61CRB3,4.0,,LGA1155,Micro ATX,8 GB,2,Green / Blue,8.0
MSI 760GMA-P34(FX),3.5,,AM3+,Micro ATX,16 GB,2,,16.0
MSI Z170-A PRO,4.5,,LGA1151,ATX,64 GB,4,Brown / Black,64.0
Supermicro X10SRM-TF,,,LGA2011-3 Narrow,Micro ATX,512 GB,4,Black / Green,512.0
ASRock Fatal1ty X370 Gaming K4,4.5,,AM4,ATX,64 GB,4,Black / Red,64.0
MSI X370 SLI PLUS,4.5,,AM4,ATX,64 GB,4,Black / White,64.0
Asus ROG STRIX Z490-G GAMING (WI-FI),4.5,,LGA1200,Micro ATX,128 GB,4,Black,128.0
ASRock B460M-ITX/ac,4.0,,LGA1200,Mini ITX,64 GB,2,Black / Silver,64.0
Gigabyte B660M GAMING X DDR4,4.0,,LGA1700,Micro ATX,128 GB,4,Black,128.0
Asus PRIME B550M-K ARGB-CSM,,,AM4,Micro ATX,64 GB,2,Black,64.0
ASRock B650 PG Lightning WiFi,,,AM5,ATX,256 GB,4,Black / Gray,256.0
Gigabyte B560 AORUS PRO AX,,390.49,LGA1200,ATX,128 GB,4,Black,128.0
Asus PRIME H270-PRO,,1085.45,LGA1151,ATX,64 GB,4,Black / Silver,64.0
Gigabyte Z590 AORUS ELITE,,437.89,LGA1200,ATX,128 GB,4,Black,128.0
ASRock Z390 Phantom Gaming-ITX/ac,4.5,,LGA1151,Mini ITX,64 GB,2,Black / Silver,64.0
MSI Z97A GAMING 6,4.0,,LGA1150,ATX,32 GB,4,Black / Red,32.0
MSI B250M MORTAR,4.5,,LGA1151,Micro ATX,64 GB,4,Black / Red,64.0
Biostar X370GTN,4.0,,AM4,Mini ITX,32 GB,2,Black,32.0
Asus PRIME X399-A,4.5,,sTR4,EATX,128 GB,8,Black / Silver,128.0
ASRock H310CM-HDV/M.2,3.0,,LGA1151,Micro ATX,32 GB,2,Black,32.0
MSI MEG X570 GODLIKE,4.5,,AM4,EATX,128 GB,4,Black,128.0
ASRock X570 Phantom Gaming 4 WiFi ax,3.0,,AM4,ATX,128 GB,4,Black,128.0
Gigabyte Z590 AORUS ULTRA,5.0,,LGA1200,ATX,128 GB,4,Black,128.0
Asus PRIME B760M-A AX D4,,,LGA1700,Micro ATX,128 GB,4,Silver / Black,128.0
MSI X370 GAMING PRO,4.0,,AM4,ATX,64 GB,4,Black / Red,64.0
Gigabyte Z390 AORUS XTREME,,729.99,LGA1151,EATX,128 GB,4,Black / Silver,128.0
Gigabyte Z690 AERO G DDR4,4.0,,LGA1700,ATX,128 GB,4,Black / Silver,128.0
Gigabyte GA-H61M-S1,4.5,,LGA1155,Micro ATX,16 GB,2,Blue / White,16.0
Asus H81M-E,5.0,,LGA1150,Micro ATX,16 GB,2,Black / Gold,16.0
Supermicro X10DRL-i,,,2 x LGA2011,ATX,512 GB,8,Green,512.0
Gigabyte GA-Z170X-Gaming 5,4.5,454.02,LGA1151,ATX,64 GB,4,Black / Red,64.0
Gigabyte GA-H110M-H,3.5,,LGA1151,Micro ATX,32 GB,2,Black / Silver,32.0
MSI MEG B550 UNIFY,4.5,,AM4,ATX,128 GB,4,Black / Silver,128.0
MSI MAG B560 TORPEDO,4.5,,LGA1200,ATX,128 GB,4,Black / Blue,128.0
Asus PRIME B760M-A AX6,,,LGA1700,Micro ATX,192 GB,4,Silver / Black,192.0
Gigabyte Z790 AORUS ELITE AX-W,5.0,576.35,LGA1700,ATX,192 GB,4,Silver / Black,192.0
Gigabyte B360 HD3,4.5,,LGA1151,ATX,64 GB,4,Silver / Black,64.0
Asus PRIME X570-P/CSM,5.0,,AM4,ATX,128 GB,4,Black / Silver,128.0
ASRock Z690 Steel Legend WiFi 6E,5.0,,LGA1700,ATX,128 GB,4,Silver / Black,128.0
Biostar B550MHP,,,AM4,Micro ATX,64 GB,2,Black,64.0
Gigabyte GA-G31M-ES2L,,,LGA775,Micro ATX,4 GB,2,Multicolor,4.0
Gigabyte GA-78LMT-S2,4.0,,AM3+,Micro ATX,16 GB,2,Blue / White,16.0
Asus H81M-A,4.0,,LGA1150,Micro ATX,16 GB,2,Black / Gold,16.0
Asus B85M-G R2.0,,,LGA1150,Micro ATX,32 GB,4,Black / Gold,32.0
Gigabyte GA-H81M-S2H,3.5,,LGA1150,Micro ATX,16 GB,2,Black / Silver,16.0
Supermicro MBD-X10DAL-I-O,4.5,,2 x LGA2011-3,ATX,512 GB,8,Black / Green,512.0
Gigabyte GA-Z270X-Gaming 7,4.5,,LGA1151,ATX,64 GB,4,Black / White,64.0
MSI Z270 GAMING PLUS,4.0,,LGA1151,ATX,64 GB,4,Black / Red,64.0
ASRock TRX40 TAICHI,,,sTRX4,ATX,256 GB,8,Black / Silver,256.0
MSI TRX40 PRO WIFI,,,sTRX4,ATX,256 GB,8,Black / Silver,256.0
Biostar B450MX-S,,,AM4,Micro ATX,128 GB,4,Black / Silver,128.0
MSI Z790MPOWER,,,LGA1700,Micro ATX,128 GB,2,Black / Silver,128.0
Gigabyte B860 DS3H WIFI6E,,151.65,LGA1851,ATX,256 GB,4,Silver / Black,256.0
Gigabyte Z490I AORUS ULTRA,4.5,,LGA1200,Mini ITX,64 GB,2,Black / Silver,64.0
Gigabyte Z690 GAMING X,4.0,,LGA1700,ATX,192 GB,4,Black / Gray,192.0
NZXT N5 Z690,4.5,239.99,LGA1700,ATX,128 GB,4,Black,128.0
Asus P8H61-M LE/CSM R2.0,4.0,,LGA1155,Micro ATX,16 GB,2,Black / Blue,16.0
Asus Z97 PRO GAMER,4.5,,LGA1150,ATX,32 GB,4,Black / Red,32.0
Asus Z170-DELUXE,4.5,,LGA1151,ATX,64 GB,4,Black / White,64.0
ASRock H110M-DGS,4.5,,LGA1151,Micro ATX,32 GB,2,Black / Orange,32.0
Gigabyte GA-X99-Designare EX,4.5,,LGA2011-3,ATX,128 GB,8,White / Blue,128.0
Asus PRIME Z270-K,4.0,,LGA1151,ATX,64 GB,4,Black / White,64.0
Gigabyte GA-AB350M-D3H,4.0,,AM4,Micro ATX,64 GB,4,Black / Gray,64.0
Asus CROSSHAIR VI HERO (WI-FI AC),4.0,,AM4,ATX,64 GB,4,Black / Gray,64.0
Gigabyte C246-WU4,5.0,,LGA1151,ATX,128 GB,4,Black / Silver,128.0
Asus PRIME Z390M-PLUS,,,LGA1151,Micro ATX,128 GB,4,White / Black,128.0
Asus PRIME H410M-A,,,LGA1200,Micro ATX,64 GB,2,Black,64.0
Asus TUF GAMING Z590-PLUS,,,LGA1200,ATX,128 GB,4,Black,128.0
ASRock Z590 Steel Legend WiFi 6E,4.0,,LGA1200,ATX,128 GB,4,Silver / Black,128.0
ASRock Z68M/USB3,,105.19,LGA1155,Micro ATX,16 GB,2,,16.0
MSI PRO B660M-G DDR4,,,LGA1700,Micro ATX,64 GB,2,Black / Silver,64.0
MSI Z370I GAMING PRO CARBON AC,4.5,,LGA1151,Mini ITX,32 GB,2,Black / Silver,32.0
MSI MEG X570S UNIFY-X MAX,5.0,,AM4,ATX,64 GB,2,Black,64.0
XFX MBN790IUL9,,361.99,LGA775,ATX,8 GB,4,,8.0
Gigabyte GA-Z77-D3H,4.5,,LGA1155,ATX,32 GB,4,Blue / White,32.0
ASRock X99E-ITX/ac,3.5,,LGA2011-3 Narrow,Mini ITX,32 GB,2,Black / Blue,32.0
Supermicro H8DG6-F,,,2 x G34,EATX,512 GB,16,Black / Blue,512.0
Asus TUF GAMING B460M-PLUS,,,LGA1200,Micro ATX,128 GB,4,Black / Gold,128.0
MSI H510M PRO,5.0,,LGA1200,Micro ATX,64 GB,2,Beige,64.0
Gigabyte B760M C V2 (rev. 1.0),,,LGA1700,Micro ATX,192 GB,4,,192.0
NZXT N7 Z390,5.0,219.99,LGA1151,ATX,64 GB,4,White / Black,64.0
Gigabyte B660 AORUS Master DDR4,4.0,306.83,LGA1700,ATX,128 GB,4,Black,128.0
Asus PRIME Z890M-PLUS WIFI-CSM,,,LGA1851,Micro ATX,192 GB,4,Black / Silver,192.0
Biostar B660T-SILVER,,,LGA1700,Mini ITX,64 GB,2,Silver / Black,64.0
ASRock B760M PG Lightning Wifi,4.5,,LGA1700,Micro ATX,192 GB,4,Black,192.0
ASRock Z690 Taichi Razer Edition,5.0,,LGA1700,ATX,192 GB,4,Black,192.0
Asus PRIME B850-PLUS,,,AM5,ATX,256 GB,4,Black / Silver,256.0
Gigabyte Z790 UD,,,LGA1700,ATX,192 GB,4,Black,192.0
ASRock P45X3 Deluxe,,,LGA775,ATX,16 GB,4,Black / Blue,16.0
Asus Sabertooth Z77,4.5,,LGA1155,ATX,32 GB,4,Brown / Black,32.0
ASRock H61M-VG3,4.0,,LGA1155,Micro ATX,16 GB,2,Black / Blue,16.0
Gigabyte GA-Z270X-Ultra Gaming,4.5,,LGA1151,ATX,64 GB,4,Black / Silver,64.0
Gigabyte Z370XP SLI (rev. 1.0),4.0,,LGA1151,ATX,64 GB,4,Black / White,64.0
Asus TUF B360-PRO GAMING,,,LGA1151,ATX,64 GB,4,Black / Orange,64.0
MSI TRX40 PRO 10G,4.0,,sTRX4,ATX,256 GB,8,Black / Silver,256.0
ASRock Z490 Phantom Gaming 4,,,LGA1200,ATX,128 GB,4,Black / Gray,128.0
MSI H510I PRO WIFI,4.0,,LGA1200,Mini ITX,64 GB,2,Black / Silver,64.0
ASRock B660 Pro RS,4.5,,LGA1700,ATX,128 GB,4,Gray / Black,128.0
MSI MAG B660 TOMAHAWK EVA e-PROJECT,5.0,,LGA1700,ATX,192 GB,4,Purple / Black,192.0
Asus PRIME B760M-A WIFI D4-CSM,,,LGA1700,Micro ATX,128 GB,4,Silver / Black,128.0
EVGA Z790 DARK K|NGP|N,,,LGA1700,EATX,64 GB,2,Black,64.0
Gigabyte B760M G AX,,,LGA1700,Micro ATX,96 GB,2,Black / Silver,96.0
MSI B650 GAMING PLUS,,,AM5,ATX,256 GB,4,Black,256.0
