title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,cache_gb,capacity_gb
Western Digital WD Blue,,119.99,8 TB,0.015,5640 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,8000.0
Silicon Power US75,4.5,114.99,2 TB,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Crucial BX500,4.0,34.99,480 GB,0.073,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
Corsair MP600 CORE XT,3.5,125.99,2 TB,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Patriot Viper VP4300 Lite,5.0,220.98,4 TB,0.055,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
Lexar NM620,5.0,39.99,512 GB,0.078,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Western Digital WD Blue SN5000,,249.99,4 TB,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
MSI SPATIUM M460,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Seagate Exos X24 SED,,493.37,24 TB,0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,24000.0
Sabrent Rocket 4 Plus,5.0,208.99,2 TB,0.104,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
PNY CS2150,5.0,174.99,2 TB,0.087,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,2000.0
Lexar NQ790,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Seagate BarraCuda Pro,4.5,213.99,10 TB,0.021,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,10000.0
Western Digital Blue SA510,5.0,122.88,2 TB,0.061,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
TEAMGROUP MP33 PRO,4.0,42.99,512 GB,0.084,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Samsung 870 QVO,4.5,107.9,1 TB,0.108,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Western Digital WD_Black SN850X w/Heatsink,5.0,109.99,1 TB,0.11,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
