title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,cache_gb,capacity_gb
Western Digital Red,5.0,179.0,6 TB,0.03,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,6000.0
Inland Professional,,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Sabrent Rocket 4 Plus G,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
PNY CS1031,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Mushkin Vortex-LX,,80.98,1 TB,0.081,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Klevv CRAS C925,,46.99,500 GB,0.094,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Western Digital Caviar Blue,3.5,,500 GB,,5400 RPM,8 MB,"2.5""",SATA 6.0 Gb/s,0.008,500.0
VisionTek Data Fusion 2-way,,412.72,240 GB,1.72,SSD,,PCIe,PCIe x2,,240.0
Intel 750,,499.0,400 GB,1.248,SSD,,PCIe,PCIe x4,,400.0
Seagate BarraCuda,4.0,249.58,3 TB,0.083,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,0.128,3000.0
Western Digital Purple,3.0,114.0,3 TB,0.038,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,3000.0
Micron 1100,,199.99,1 TB,0.2,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Intel 545s,3.0,53.95,128 GB,0.421,SSD,,"2.5""",SATA 6.0 Gb/s,,128.0
Seagate Enterprise Performance,,339.06,2.4 TB,0.141,10000 RPM,256 MB,"2.5""",SAS 12.0 Gb/s,0.256,2400.0
Gigabyte AORUS RGB,,,256 GB,,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,0.512,256.0
PNY XLR8 CS3030,5.0,114.03,250 GB,0.456,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,250.0
Seagate EXOS Enterprise,,293.5,6 TB,0.049,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,6000.0
Inland Performance,,244.55,2 TB,0.122,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Silicon Power UD90,,,250 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,250.0
Toshiba X300 Pro,,298.99,14 TB,0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,14000.0
Fantom Drives VENOM7,,84.99,1 TB,0.085,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Kingston SSDNow V+100,,,512 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,512.0
Seagate BarraCuda,4.0,,750 GB,,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,0.032,750.0
Seagate Constellation ES.2,3.0,,3 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,3000.0
OCZ RevoDrive,,,50 GB,,SSD,,PCIe,PCIe x4,,50.0
Western Digital Green,4.5,,2 TB,,5900 RPM,8 MB,"2.5""",SATA 6.0 Gb/s,0.008,2000.0
Western Digital Black,4.5,64.0,750 GB,0.085,7200 RPM,16 MB,"2.5""",SATA 6.0 Gb/s,0.016,750.0
Samsung 840 Evo,4.5,,500 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,500.0
Intel 730,4.5,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Kingston SSDNow E100,,,200 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,200.0
AMD RADEON-R7SSD-240G,5.0,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Samsung SM951,4.5,,256 GB,,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,0.512,256.0
Silicon Power Slim S55,4.0,30.02,240 GB,0.125,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
AMD Radeon R3,,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
Western Digital Green,4.5,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Seagate IronWolf NAS,5.0,129.99,2 TB,0.065,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,2000.0
Toshiba XG3,5.0,,128 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,128.0
Seagate Enterprise Capacity,,,12 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,12000.0
Silicon Power A80,4.0,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
TEAMGROUP GX1,4.0,71.17,480 GB,0.148,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
TEAMGROUP GX1,3.0,28.0,120 GB,0.233,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Micron 2200,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Intel D3-S4510,,178.0,960 GB,0.185,SSD,,"2.5""",SATA 6.0 Gb/s,,960.0
Inland 1TB Performance,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Samsung PM871b,,,512 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,512.0
ADATA Swordfish,4.5,,250 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,250.0
Seagate FireCuda Compute,5.0,,2 TB,,Hybrid,,"2.5""",SATA 6.0 Gb/s,,2000.0
Silicon Power UD70,,,500 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
Acer SA100,,,1.92 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,1920.0
Acer SA100,,,960 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,960.0
Western Digital Black SN750 Rev2,,114.99,500 GB,0.23,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
Seagate Exos 7E8 512e,5.0,,6 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,6000.0
Seagate Exos X18,,367.52,16 TB,0.023,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,16000.0
Klevv CRAS C720,,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Toshiba N300,,,6 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,6000.0
Inland QN322,4.5,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Leven JPS600,1.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Netac NV2000,,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Micron 5300 PRO,,,7.68 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,7680.0
G.Skill Ripjaws S3,,,240 GB,,SSD,,M.2-2280,M.2 SATA,,240.0
Transcend SSD230S,,179.99,2 TB,0.09,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
AGI AI298,,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Western Digital SN530,,58.0,512 GB,0.113,SSD,,M.2-2230,M.2 PCIe 3.0 X4,,512.0
Inland TD510,4.0,219.99,2 TB,0.11,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,2000.0
Seagate SkyHawk AI,,239.99,10 TB,0.024,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,10000.0
Silicon Power A55,5.0,,1 TB,,SSD,,M.2-2280,M.2 SATA,,1000.0
Silicon Power UD85,,,250 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,250.0
Western Digital WDBMMA0030HNC-NRSN,5.0,69.98,3 TB,0.023,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,3000.0
Hitachi A7K1000-1000,3.5,64.7,1 TB,0.065,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,1000.0
Seagate ST4000LM016,5.0,169.0,4 TB,0.042,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,0.128,4000.0
TEAMGROUP T-Create Classic I45,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
XOC SP900,,82.0,1 TB,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Western Digital VelociRaptor,4.5,149.94,300 GB,0.5,10000 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,300.0
Seagate Cheetah 15K.7,,140.0,600 GB,0.233,15000 RPM,16 MB,"3.5""",SAS 6.0 Gb/s,0.016,600.0
Seagate Exos 7E8,,100.0,1 TB,0.1,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,1000.0
Lexar NM760,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Integral V Series Plus,,30.53,256 GB,0.119,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
Toshiba MK6465GSX,5.0,,640 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,0.008,640.0
Seagate Momentus XT,4.5,93.0,750 GB,0.124,7200 RPM,32 MB,"2.5""",SATA 6.0 Gb/s,0.032,750.0
Western Digital RE,4.0,,4 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,4000.0
HP 691862-B21,,,100 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,100.0
Intel DC S3710,,211.0,200 GB,1.055,SSD,,"2.5""",SATA 6.0 Gb/s,,200.0
Hitachi Ultrastar He8,5.0,325.0,8 TB,0.041,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,0.128,8000.0
Patriot Burst,4.0,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Toshiba MG06ACA10TE,,,10 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,10000.0
Patriot Burst,3.0,,960 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,960.0
PNY CS2130,3.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Transcend 220S,,44.0,256 GB,0.172,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Western Digital Purple,,405.0,18 TB,0.022,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,18000.0
Seagate Exos 7E10 512n,,169.52,4 TB,0.042,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,4000.0
Inland Platinum,,24.99,256 GB,0.098,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
Inland Gaming Performance Plus,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Mushkin ELEMENT,,,512 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,512.0
Seagate BarraCuda,3.5,85.0,320 GB,0.266,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,320.0
Western Digital Caviar Black,4.0,155.54,500 GB,0.311,7200 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,0.032,500.0
Intel X25-M,4.5,155.0,80 GB,1.938,SSD,,"2.5""",SATA 3.0 Gb/s,,80.0
Western Digital Caviar Green,4.0,,1 TB,,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,1000.0
Western Digital VelociRaptor,4.5,,150 GB,,10000 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,0.032,150.0
Intel 313,,,20 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,,20.0
Samsung 840,4.5,,250 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,250.0
SanDisk X110,4.5,,128 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,128.0
Crucial M500,4.5,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
Western Digital Blue,3.0,,320 GB,,5400 RPM,8 MB,"2.5""",SATA 6.0 Gb/s,0.008,320.0
Samsung 840 Evo,4.5,,750 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,750.0
Hitachi Ultrastar 7K3000,,,3 TB,,7200 RPM,64 MB,"3.5""",SAS 6.0 Gb/s,0.064,3000.0
SK Hynix SH910A,4.0,,128 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,128.0
AMD RADEON-R7SSD-120G,5.0,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
SanDisk SSD PLUS,4.0,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Intel 535,4.5,78.7,240 GB,0.328,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Samsung PM863,,,3.84 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,3840.0
SanDisk X400,4.0,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
ADATA SP550,,,960 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,960.0
OCZ RD400A,,,1 TB,,SSD,,PCIe,PCIe x4,,1000.0
Drevo Ares,,,256 GB,,SSD,,PCIe,PCIe x1,,256.0
Western Digital Red Pro,,330.1,10 TB,0.033,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,10000.0
Hitachi Ultrastar,4.0,,2 TB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,2000.0
HP EX920,4.5,,256 GB,,SSD,256 MB,M.2-2280,M.2 PCIe 3.0 X4,0.256,256.0
Kingston A1000,4.0,,480 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,480.0
ADATA XPG SX6000,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Corsair MP300,4.5,,120 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X2,,120.0
Samsung 860 Evo,,,1 TB,,SSD,,mSATA,mSATA,,1000.0
Seagate Barracuda Compute,,,2 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,2000.0
TEAMGROUP MP34,4.5,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Mushkin Pilot-E,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
TEAMGROUP T-Force Vulcan,4.5,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
HP EX900,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Intel 5450s,,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
Seagate Exos 7E8,5.0,97.0,2 TB,0.048,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,2000.0
Western Digital Ultrastar,,54.0,240 GB,0.225,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Samsung PM871b,,,128 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,128.0
Transcend 220S,,167.51,2 TB,0.084,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Silicon Power UD70,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Integral M,,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Klevv CRAS C710,5.0,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Western Digital Black SN750 Rev2,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
YMTC ZHITAI,,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Western Digital PC SN730,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
TEAMGROUP T-Force Cardea A440 Pro,5.0,,4 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
Seagate Exos X18,5.0,,18 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,18000.0
PNY CS2130,,,4 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,4000.0
GOODRAM CL100 gen.3,,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Netac NV5000-N,,,500 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
Seagate Lightsaber Collection FireCuda,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Western Digital PC SN740 Opal,,,512 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,512.0
ADATA LEGEND 700 GOLD,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Seagate Barracuda PCIe,,,500 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
KingSpec XF,,70.99,1 TB,0.071,SSD,,M.2-2230,M.2 PCIe 4.0 X4,,1000.0
Seagate SkyHawk AI,2.0,218.94,8 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,8000.0
Seagate SkyHawk Surveillance +Rescue,,149.99,6 TB,0.025,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,6000.0
MSI SPATIUM M371,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Silicon Power UD85,,,4 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
KingSpec XG7000 PRO,,74.99,1 TB,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Toshiba N300,,284.99,14 TB,0.02,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,14000.0
Western Digital Purple,5.0,134.99,6 TB,0.022,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,6000.0
Transcend MTS800,,65.0,64 GB,1.016,SSD,,M.2-2280,M.2 SATA,,64.0
Intel SSDMCEAW120A401,,60.0,120 GB,0.5,SSD,,mSATA,mSATA,,120.0
Toshiba S300 Pro,,159.0,6 TB,0.026,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,6000.0
Intel 320,,99.0,40 GB,2.475,SSD,,"2.5""",SATA 3.0 Gb/s,,40.0
Hitachi Deskstar 5K3000,5.0,125.0,3 TB,0.042,5400 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,0.032,3000.0
Corsair Force LE,4.5,219.99,480 GB,0.458,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
Intel 600p,4.5,189.0,1 TB,0.189,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Crucial MX300,5.0,299.99,2.05 TB,0.146,SSD,,"2.5""",SATA 6.0 Gb/s,,2050.0
Seagate IronWolf,4.5,205.0,6 TB,0.034,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,0.128,6000.0
Seagate SkyHawk,,214.0,8 TB,0.027,5900 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,8000.0
Samsung PM893,,174.5,480 GB,0.364,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
OWC Mercury Electra 6G,,26.99,250 GB,0.108,SSD,,"2.5""",SATA 6.0 Gb/s,,250.0
KingSpec XG7000,,78.99,1 TB,0.079,SSD,,M.2-2242,M.2 PCIe 4.0 X4,,1000.0
Seagate Exos X24 SED,,,20 TB,,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,20000.0
XOC Nitro,,56.97,1 TB,0.057,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Seagate Pipeline HD,,,320 GB,,5900 RPM,8 MB,"3.5""",SATA 3.0 Gb/s,0.008,320.0
Intel 530,4.0,189.0,240 GB,0.787,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
Kingston SSDNow 200,4.0,,30 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,30.0
Transcend MTS400,4.0,49.48,32 GB,1.546,SSD,,M.2-2242,M.2 SATA,,32.0
Intel 545s,,37.0,128 GB,0.289,SSD,,M.2-2280,M.2 SATA,,128.0
Seagate FireCuda,5.0,394.99,2 TB,0.197,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Angelbird Wings MX2,,,2 TB,,SSD,,PCIe,PCIe x2,,2000.0
Western Digital Purple Pro,,325.99,14 TB,0.023,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,14000.0
HP EX900 Plus,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Lexar NQ780,,119.49,1 TB,0.119,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Western Digital Caviar Green,4.0,45.0,500 GB,0.09,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,0.016,500.0
Hitachi 7K2000,4.0,,2 TB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,0.032,2000.0
Western Digital RE4,4.5,33.99,500 GB,0.068,7200 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,0.064,500.0
Intel 510,,,250 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,250.0
Seagate BarraCuda,3.5,59.0,320 GB,0.184,7200 RPM,16 MB,"3.5""",SATA 6.0 Gb/s,0.016,320.0
Samsung 830,5.0,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
ADATA Premier Pro SP900,4.0,299.95,256 GB,1.172,SSD,,"2.5""",SATA 6.0 Gb/s,,256.0
Western Digital Green,4.0,80.0,1 TB,0.08,5400 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,0.064,1000.0
Seagate Constellation.2,,,1 TB,,7200 RPM,64 MB,"2.5""",SAS 6.0 Gb/s,0.064,1000.0
Kingston SSDNow E100,,,100 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,100.0
Kingston SSDNow E100,,,400 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,400.0
Intel DC S3500,,192.0,800 GB,0.24,SSD,,"2.5""",SATA 6.0 Gb/s,,800.0
Crucial M550,,,256 GB,,SSD,,M.2-2280,M.2 SATA,,256.0
Seagate ST3146356SS-IM,,68.0,146 GB,0.466,15000 RPM,16 MB,"3.5""",SAS 3.0 Gb/s,0.016,146.0
Samsung XP941,,,512 GB,,SSD,,M.2-2280,M.2 PCIe 2.0 X4,,512.0
Seagate Archive HDD v2,,,6 TB,,5900 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,0.128,6000.0
Seagate Surveillance HDD,,,4 TB,,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,4000.0
Biwin CSE25A00001-512,,,512 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,512.0
Plextor M8Pe,,,1 TB,,SSD,1024 MB,PCIe,PCIe x4,1.024,1000.0
Intel Pro 5400s,,612.1,1 TB,0.612,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
TEAMGROUP L5 LITE 3D,4.5,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,240.0
TEAMGROUP L5 LITE 3D,4.0,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
KingDian S280,5.0,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,120.0
Western Digital Black NVMe,4.5,,250 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,250.0
Gigabyte GP-GSM2NE8256GNTD,4.5,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X2,,256.0
XPG SX6000 Lite,3.0,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,512.0
Kingston KC2000,4.0,,500 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
Hitachi HDN724040ALE640,,,4 TB,,7200 RPM,,"3.5""",SATA 6.0 Gb/s,,4000.0
Seagate ST500VM000,,45.0,500 GB,0.09,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,500.0
Kingston DC450R,,830.31,3.84 TB,0.216,SSD,,"2.5""",SATA 6.0 Gb/s,,3840.0
Corsair MP400,4.5,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
ADATA XPG GAMMIX S70,3.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
Neo Forza eSports,5.0,,1 TB,,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,0.512,1000.0
TEAMGROUP T-Create Expert,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Kingston UV500B,4.0,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
Kingston HyperX FURY RGB,4.0,,960 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,960.0
Gigabyte UD PRO 512,4.0,,512 GB,,SSD,512 MB,"2.5""",SATA 6.0 Gb/s,0.512,512.0
Patriot VPN100,5.0,,256 GB,,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4,0.512,256.0
Plextor M8VG,,,512 GB,,SSD,1024 MB,M.2-2280,M.2 SATA,1.024,512.0
TEAMGROUP MP34,5.0,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
XPG SX6000 Lite,3.0,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Kingston KC2000,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Seagate Barracuda Compute,5.0,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,1000.0
Seagate Barracuda Compute,,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Seagate Exos X14,,325.49,12 TB,0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,12000.0
Patriot Viper Gaming VP4100,4.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
HP S700,4.0,,500 GB,,SSD,,M.2-2280,M.2 SATA,,500.0
Intel DC S3610,,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,480.0
Toshiba MG06ACA800E,,279.98,8 TB,0.035,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,8000.0
ADATA Falcon,4.0,157.4,1 TB,0.157,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Addlink X70,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Silicon Power US70,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
TEAMGROUP T-Force Vulcan G,5.0,,512 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,,512.0
Angelbird Wings MX2,,,1 TB,,SSD,,PCIe,PCIe x2,,1000.0
Integral M,,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,256.0
Western Digital Black AN1500,,,2 TB,,SSD,,PCIe,PCIe x8,,2000.0
Toshiba MG08,,,14 TB,,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,14000.0
Seagate IronWolf Pro 125,,,3.84 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,,3840.0
TEAMGROUP T-Force Cardea Z44Q,5.0,,4 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
Seagate Exos X18,,438.69,18 TB,0.024,7200 RPM,256 MB,"3.5""",SAS 12.0 Gb/s,0.256,18000.0
KIOXIA EXCERIA,,,250 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,250.0
KIOXIA EXCERIA PLUS,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
ADATA Legend 750,,,500 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,500.0
TEAMGROUP T-Force Cardea Zero Z340,,,4 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,4000.0
KingSpec NX-2280,,,128 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,128.0
Patriot Viper VPN110,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Inland Gaming Performance Plus,,,4 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,4000.0
