title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface
Crucial T700,4.5,$219.99,2 TB,$0.110,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Toshiba MK3276GSX,1.5,$32.02,320 GB,$0.100,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Seagate IronWolf NAS,5.0,$179.99,8 TB,$0.022,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Samsung 990 Pro w/Heatsink,4.5,$179.99,2 TB,$0.090,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33 PRO,4.0,$63.99,1 TB,$0.064,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Acer Predator GM7000,5.0,$73.98,1 TB,$0.074,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4
KingSpec XF,None,$95.99,2 TB,$0.048,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-FORCE G50,5.0,$102.99,2 TB,$0.051,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Kingston Fury Renegade,5.0,$89.86,1 TB,$0.090,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 9100 PRO w/Heatsink,None,$516.95,4 TB,$0.129,SSD,4096 MB,M.2-2280,M.2 PCIe 5.0 X4
Intel D3-S4610,None,$1495.00,7.68 TB,$0.195,SSD,None,"2.5""",SATA 6.0 Gb/s
Crucial P310,None,$129.99,2 TB,$0.065,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,4.5,$49.99,500 GB,$0.100,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC3000,4.5,$93.99,1.024 TB,$0.092,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD90,5.0,$219.99,4 TB,$0.055,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Crucial T700,4.5,$379.99,4 TB,$0.095,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
TEAMGROUP T-FORCE G50,5.0,$57.99,1 TB,$0.058,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
