title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface
ADATA XPG SX6000,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP300,4.5,None,120 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X2
Samsung 860 Evo,None,None,1 TB,None,SSD,None,mSATA,mSATA
Seagate Barracuda Compute,None,None,2 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
TEAMGROUP MP34,4.5,None,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Pilot-E,5.0,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Vulcan,4.5,None,1 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
HP EX900,5.0,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Intel 5450s,None,None,256 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate Exos 7E8,5.0,$97.00,2 TB,$0.048,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Ultrastar,None,$54.00,240 GB,$0.225,SSD,None,"2.5""",SATA 6.0 Gb/s
Samsung PM871b,None,None,128 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Transcend 220S,None,$167.51,2 TB,$0.084,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD70,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Integral M,None,None,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Klevv CRAS C710,5.0,None,256 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN750 Rev2,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
YMTC ZHITAI,None,None,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital PC SN730,5.0,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Cardea A440 Pro,5.0,None,4 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X18,5.0,None,18 TB,None,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
PNY CS2130,None,None,4 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
GOODRAM CL100 gen.3,None,None,120 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Netac NV5000-N,None,None,500 GB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate Lightsaber Collection FireCuda,5.0,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital PC SN740 Opal,None,None,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
ADATA LEGEND 700 GOLD,None,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate Barracuda PCIe,None,None,500 GB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
KingSpec XF,None,$70.99,1 TB,$0.071,SSD,None,M.2-2230,M.2 PCIe 4.0 X4
Seagate SkyHawk AI,2.0,$218.94,8 TB,$0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Seagate SkyHawk Surveillance +Rescue,None,$149.99,6 TB,$0.025,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
MSI SPATIUM M371,None,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power UD85,None,None,4 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
KingSpec XG7000 PRO,None,$74.99,1 TB,$0.075,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Toshiba N300,None,$284.99,14 TB,$0.020,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Purple,5.0,$134.99,6 TB,$0.022,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Transcend MTS800,None,$65.00,64 GB,$1.016,SSD,None,M.2-2280,M.2 SATA
Intel SSDMCEAW120A401,None,$60.00,120 GB,$0.500,SSD,None,mSATA,mSATA
Toshiba S300 Pro,None,$159.00,6 TB,$0.026,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Intel 320,None,$99.00,40 GB,$2.475,SSD,None,"2.5""",SATA 3.0 Gb/s
Hitachi Deskstar 5K3000,5.0,$125.00,3 TB,$0.042,5400 RPM,32 MB,"3.5""",SATA 6.0 Gb/s
Corsair Force LE,4.5,$219.99,480 GB,$0.458,SSD,None,"2.5""",SATA 6.0 Gb/s
Intel 600p,4.5,$189.00,1 TB,$0.189,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX300,5.0,$299.99,2.05 TB,$0.146,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate IronWolf,4.5,$205.00,6 TB,$0.034,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s
Seagate SkyHawk,None,$214.00,8 TB,$0.027,5900 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Samsung PM893,None,$174.50,480 GB,$0.364,SSD,None,"2.5""",SATA 6.0 Gb/s
OWC Mercury Electra 6G,None,$26.99,250 GB,$0.108,SSD,None,"2.5""",SATA 6.0 Gb/s
KingSpec XG7000,None,$78.99,1 TB,$0.079,SSD,None,M.2-2242,M.2 PCIe 4.0 X4
Seagate Exos X24 SED,None,None,20 TB,None,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
XOC Nitro,None,$56.97,1 TB,$0.057,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate Pipeline HD,None,None,320 GB,None,5900 RPM,8 MB,"3.5""",SATA 3.0 Gb/s
Intel 530,4.0,$189.00,240 GB,$0.787,SSD,None,"2.5""",SATA 6.0 Gb/s
Kingston SSDNow 200,4.0,None,30 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Transcend MTS400,4.0,$49.48,32 GB,$1.546,SSD,None,M.2-2242,M.2 SATA
Intel 545s,None,$37.00,128 GB,$0.289,SSD,None,M.2-2280,M.2 SATA
Seagate FireCuda,5.0,$394.99,2 TB,$0.197,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Angelbird Wings MX2,None,None,2 TB,None,SSD,None,PCIe,PCIe x2
Western Digital Purple Pro,None,$325.99,14 TB,$0.023,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
HP EX900 Plus,None,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Lexar NQ780,None,$119.49,1 TB,$0.119,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Green,4.0,$45.00,500 GB,$0.090,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s
Hitachi 7K2000,4.0,None,2 TB,None,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Western Digital RE4,4.5,$33.99,500 GB,$0.068,7200 RPM,64 MB,"3.5""",SATA 3.0 Gb/s
Intel 510,None,None,250 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate BarraCuda,3.5,$59.00,320 GB,$0.184,7200 RPM,16 MB,"3.5""",SATA 6.0 Gb/s
Samsung 830,5.0,None,256 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
ADATA Premier Pro SP900,4.0,$299.95,256 GB,$1.172,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Green,4.0,$80.00,1 TB,$0.080,5400 RPM,64 MB,"3.5""",SATA 3.0 Gb/s
Seagate Constellation.2,None,None,1 TB,None,7200 RPM,64 MB,"2.5""",SAS 6.0 Gb/s
Kingston SSDNow E100,None,None,100 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Kingston SSDNow E100,None,None,400 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Intel DC S3500,None,$192.00,800 GB,$0.240,SSD,None,"2.5""",SATA 6.0 Gb/s
Crucial M550,None,None,256 GB,None,SSD,None,M.2-2280,M.2 SATA
Seagate ST3146356SS-IM,None,$68.00,146 GB,$0.466,15000 RPM,16 MB,"3.5""",SAS 3.0 Gb/s
Samsung XP941,None,None,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 2.0 X4
Seagate Archive HDD v2,None,None,6 TB,None,5900 RPM,128 MB,"3.5""",SATA 6.0 Gb/s
Seagate Surveillance HDD,None,None,4 TB,None,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Biwin CSE25A00001-512,None,None,512 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Plextor M8Pe,None,None,1 TB,None,SSD,1024 MB,PCIe,PCIe x4
Intel Pro 5400s,None,$612.10,1 TB,$0.612,SSD,None,"2.5""",SATA 6.0 Gb/s
TEAMGROUP L5 LITE 3D,4.5,None,240 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
TEAMGROUP L5 LITE 3D,4.0,None,480 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
KingDian S280,5.0,None,120 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Black NVMe,4.5,None,250 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Gigabyte GP-GSM2NE8256GNTD,4.5,None,256 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X2
XPG SX6000 Lite,3.0,None,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Kingston KC2000,4.0,None,500 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Hitachi HDN724040ALE640,None,None,4 TB,None,7200 RPM,None,"3.5""",SATA 6.0 Gb/s
Seagate ST500VM000,None,$45.00,500 GB,$0.090,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Kingston DC450R,None,$830.31,3.84 TB,$0.216,SSD,None,"2.5""",SATA 6.0 Gb/s
Corsair MP400,4.5,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
ADATA XPG GAMMIX S70,3.0,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Neo Forza eSports,5.0,None,1 TB,None,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Create Expert,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Kingston UV500B,4.0,None,480 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Kingston HyperX FURY RGB,4.0,None,960 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Gigabyte UD PRO 512,4.0,None,512 GB,None,SSD,512 MB,"2.5""",SATA 6.0 Gb/s
Patriot VPN100,5.0,None,256 GB,None,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4
Plextor M8VG,None,None,512 GB,None,SSD,1024 MB,M.2-2280,M.2 SATA
TEAMGROUP MP34,5.0,None,256 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
XPG SX6000 Lite,3.0,None,256 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Kingston KC2000,None,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate Barracuda Compute,5.0,None,1 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate Barracuda Compute,None,None,256 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Seagate Exos X14,None,$325.49,12 TB,$0.027,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Patriot Viper Gaming VP4100,4.0,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
HP S700,4.0,None,500 GB,None,SSD,None,M.2-2280,M.2 SATA
Intel DC S3610,None,None,480 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Toshiba MG06ACA800E,None,$279.98,8 TB,$0.035,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
ADATA Falcon,4.0,$157.40,1 TB,$0.157,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Addlink X70,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power US70,5.0,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP T-Force Vulcan G,5.0,None,512 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Angelbird Wings MX2,None,None,1 TB,None,SSD,None,PCIe,PCIe x2
Integral M,None,None,256 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black AN1500,None,None,2 TB,None,SSD,None,PCIe,PCIe x8
Toshiba MG08,None,None,14 TB,None,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Seagate IronWolf Pro 125,None,None,3.84 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
TEAMGROUP T-Force Cardea Z44Q,5.0,None,4 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate Exos X18,None,$438.69,18 TB,$0.024,7200 RPM,256 MB,"3.5""",SAS 12.0 Gb/s
KIOXIA EXCERIA,None,None,250 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
KIOXIA EXCERIA PLUS,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
ADATA Legend 750,None,None,500 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Cardea Zero Z340,None,None,4 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
KingSpec NX-2280,None,None,128 GB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Patriot Viper VPN110,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Inland Gaming Performance Plus,None,None,4 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
VisionTek DLX3,None,$37.99,256 GB,$0.148,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital PC SN740 Pyrite,None,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital PC SN740 Pyrite,None,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
OWC Aura Ultra IV,None,None,8 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate Enterprise Capacity,None,$188.97,8 TB,$0.024,7200 RPM,256 MB,"3.5""",SAS 6.0 Gb/s
Hitachi 0F27406,None,$139.00,8 TB,$0.017,7200 RPM,256 MB,"3.5""",SAS 12.0 Gb/s
Patriot Viper PV553,None,$279.99,2 TB,$0.140,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Green,5.0,$188.64,6 TB,$0.031,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Purple Pro,None,$295.00,12 TB,$0.025,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Hitachi 0B36040,5.0,$124.99,4 TB,$0.031,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Corsair MP600 CORE MINI,3.0,$103.99,1 TB,$0.104,SSD,None,M.2-2230,M.2 PCIe 4.0 X4
ADATA SU655,3.0,None,120 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Blue SA510,None,$39.99,250 GB,$0.160,SSD,None,M.2-2280,M.2 SATA
Addlink A95,None,$147.44,2 TB,$0.074,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Transcend 250S,None,$373.35,4 TB,$0.093,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Toshiba MG09 512e,None,$299.00,14 TB,$0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Toshiba MG09 512e,None,$275.99,12 TB,$0.023,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
PNY CS2240,None,$79.98,1 TB,$0.080,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Integral INSSD256GM242,None,None,256 GB,None,SSD,None,M.2-2242,M.2 SATA
Intel DC P3600,None,$1500.00,1.2 TB,$1.250,SSD,None,PCIe,PCIe x4
Seagate BarraCuda Pro,5.0,$241.49,8 TB,$0.030,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
HP FX900 Pro,None,None,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Inland 1TB TD510 NVME,None,$149.99,1 TB,$0.150,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Addlink S93,None,$249.44,4 TB,$0.062,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
GOODRAM PX700,None,None,4.096 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Addlink G55H,None,$224.99,2 TB,$0.112,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Intel DC S3700,None,$143.44,400 GB,$0.359,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital Red,None,$185.00,5 TB,$0.037,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Western Digital SE,4.5,$104.00,1 TB,$0.104,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s
Western Digital Purple,None,$219.10,8 TB,$0.027,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Toshiba X300,None,$289.00,10 TB,$0.029,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Seagate Enterprise Performance,None,$125.25,300 GB,$0.417,15000 RPM,256 MB,"2.5""",SAS 12.0 Gb/s
PNY CS2130,None,$199.99,2 TB,$0.100,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Transcend 220S,None,$104.60,1 TB,$0.105,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red Plus,None,None,3 TB,None,5400 RPM,128 MB,"3.5""",SATA 6.0 Gb/s
Lexar NS100,None,None,2 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Toshiba N300 Pro,None,None,10 TB,None,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Toshiba MG09 512e,None,$288.00,10 TB,$0.029,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Transcend SSD230S,None,$339.99,4 TB,$0.085,SSD,None,"2.5""",SATA 6.0 Gb/s
Apacer AS2280Q4U,None,None,512 GB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Lexar PLAY,None,$269.49,4 TB,$0.067,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Integral M2,None,None,2 TB,None,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,3.0,None,250 GB,None,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s
Western Digital Scorpio Blue,5.0,$20.99,250 GB,$0.084,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Samsung Spinpoint F1 DT,3.0,None,500 GB,None,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s
Seagate Barracuda LP,3.5,$135.44,1 TB,$0.135,5900 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Seagate Constellation ES,4.0,$58.99,1 TB,$0.059,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Intel X25-V,None,$59.99,40 GB,$1.500,SSD,None,"2.5""",SATA 3.0 Gb/s
Seagate Barracuda Green,4.0,$245.00,1.5 TB,$0.163,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Intel 320,None,None,300 GB,None,SSD,None,"2.5""",SATA 3.0 Gb/s
Seagate Momentus 5400.6,3.0,$32.99,320 GB,$0.103,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Corsair Force GT,4.0,None,120 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Toshiba MK5076GSX,4.5,None,500 GB,None,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
ADATA S511,4.0,$313.45,240 GB,$1.306,SSD,None,"2.5""",SATA 6.0 Gb/s
Samsung 830,5.0,None,128 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Kingston SSDNow V200,None,None,256 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate Pipeline HD,5.0,None,2 TB,None,5900 RPM,64 MB,"3.5""",SATA 3.0 Gb/s
Seagate BarraCuda,4.0,None,3 TB,None,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Corsair Force 3,None,None,240 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate Constellation.2,None,None,500 GB,None,7200 RPM,64 MB,"2.5""",SATA 6.0 Gb/s
Hitachi Ultrastar 7K4000,4.0,None,3 TB,None,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
OCZ Agility 3,None,None,512 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Toshiba Solid State Drive,None,None,240 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital AV-GP,None,$20.49,320 GB,$0.064,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s
Hitachi Ultrastar 7K4000,5.0,$498.00,2 TB,$0.249,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Western Digital WDBMMA0010HNC-NRSN,4.5,$49.00,1 TB,$0.049,5400 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Seagate ST2000VN000,4.5,None,2 TB,None,5900 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Seagate Enterprise Performance,None,$49.00,600 GB,$0.082,10000 RPM,128 MB,"2.5""",SAS 12.0 Gb/s
Seagate FireCuda,5.0,$370.21,1 TB,$0.370,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Intel D3-S4510,None,$324.45,1.92 TB,$0.169,SSD,None,"2.5""",SATA 6.0 Gb/s
Intel Optane 900P,None,None,280 GB,None,SSD,None,"2.5""",U.2
Kingston SSDNOW DC500M,None,None,1.92 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Toshiba N300,None,None,8 TB,None,7200 RPM,None,"3.5""",SATA 6.0 Gb/s
V7 V7SSD1TBS25U,None,None,1 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Corsair MP600 PRO NH,None,$111.10,500 GB,$0.222,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Mushkin ELEMENT,None,$176.78,1 TB,$0.177,SSD,None,"2.5""",SATA 6.0 Gb/s
Oyen Digital E13S-2242-2048PH,None,$189.00,2 TB,$0.094,SSD,None,M.2-2242,M.2 PCIe 3.0 X4
Oyen Digital E13S-2242-1024PH,None,$89.00,1 TB,$0.089,SSD,None,M.2-2242,M.2 PCIe 3.0 X4
VisionTek DLX4,None,$203.15,2 TB,$0.102,SSD,None,M.2-2230,M.2 PCIe 4.0 X4
GOODRAM IRDM PRO SLIM,None,$542.16,4 TB,$0.136,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Titanium Micro TH7175,None,$149.99,2 TB,$0.075,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Mushkin MKNSSDED500GB-D8,None,None,500 GB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Integral 2020,None,None,512 GB,None,SSD,None,M.2-2280,M.2 SATA
Integral 2020,None,None,1 TB,None,SSD,None,M.2-2280,M.2 SATA
Western Digital RE2,None,Out of stock$95.11,400 GB,None,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s
Western Digital RE2,4.0,None,160 GB,None,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s
Western Digital RE2-GP,None,None,500 GB,None,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s
Western Digital Caviar Black,5.0,None,750 GB,None,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Western Digital Caviar Green,None,None,1.5 TB,None,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Western Digital Scorpio Black,3.0,None,250 GB,None,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s
Western Digital Scorpio Black,None,None,160 GB,None,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s
Western Digital Scorpio Black,None,None,80 GB,None,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s
Western Digital Scorpio Black,5.0,$55.00,250 GB,$0.220,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s
Western Digital Scorpio Black,4.5,None,160 GB,None,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s
Western Digital Scorpio Blue,4.0,None,640 GB,None,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Western Digital Scorpio Blue,4.0,None,500 GB,None,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Western Digital Scorpio Blue,3.0,$152.03,640 GB,$0.238,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Western Digital Scorpio Blue,None,None,400 GB,None,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Western Digital AV-GP,3.5,None,1 TB,None,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Western Digital AV-GP,None,None,1 TB,None,5400 RPM,8 MB,"3.5""",SATA 3.0 Gb/s
Western Digital AV-GP,3.5,None,250 GB,None,5400 RPM,8 MB,"3.5""",SATA 3.0 Gb/s
Hitachi A7K1000-500,5.0,None,500 GB,None,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Hitachi A7K1000-750,4.5,None,750 GB,None,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Hitachi 7K1000.C,None,$229.95,750 GB,$0.307,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Hitachi 7K1000.C,4.0,None,640 GB,None,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Hitachi 7K1000.B,4.0,None,250 GB,None,7200 RPM,8 MB,"3.5""",SATA 3.0 Gb/s
Hitachi 7K1000,None,None,1 TB,None,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Seagate BarraCuda,None,None,1.5 TB,None,5900 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Intel X25-M,None,None,160 GB,None,SSD,None,"2.5""",SATA 3.0 Gb/s
Intel X25-M,None,$300.00,160 GB,$1.875,SSD,None,"2.5""",SATA 3.0 Gb/s
Samsung Spinpoint F3 EG,None,None,1.5 TB,None,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Samsung Spinpoint F3 EG,1.0,None,1 TB,None,5400 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Samsung Spinpoint F1 EG,None,None,500 GB,None,5400 RPM,16 MB,"3.5""",SATA 3.0 Gb/s
Samsung Spinpoint F1 RAID,None,None,1 TB,None,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Samsung Spinpoint F1 RAID,4.0,None,500 GB,None,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s
Samsung Spinpoint F1 RAID,None,None,320 GB,None,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s
Samsung Spinpoint F1 CE,3.0,None,1 TB,None,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s
Samsung Spinpoint MP4,3.5,None,500 GB,None,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s
Samsung Spinpoint MP4,None,None,320 GB,None,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s
Samsung Spinpoint M7,None,None,120 GB,None,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Samsung Spinpoint M7,None,None,320 GB,None,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
Samsung Spinpoint M7,None,None,500 GB,None,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s
OCZ Colossus,None,None,250 GB,None,SSD,128 MB,"3.5""",SATA 3.0 Gb/s
OCZ Vertex 2 EX,4.0,None,100 GB,None,SSD,None,"2.5""",SATA 3.0 Gb/s
OCZ Vertex 2 Pro,None,None,200 GB,None,SSD,None,"2.5""",SATA 3.0 Gb/s
OCZ Vertex 2,4.0,None,240 GB,None,SSD,None,"2.5""",SATA 3.0 Gb/s
OCZ Agility 2,None,None,100 GB,None,SSD,None,"2.5""",SATA 3.0 Gb/s
